,PIN,Sex,Region,Year,Major,Grade,HSG,IndGrd2,AC1,AC2,SAT,IndGrd
83,N331112405279,M,Singapore,ay1415,PSYCHOLOGY,78.178,4,82.4040754625,Anthropology,History,800,0.0
84,N332112401279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,83.322,4,87.6625,Environmental Studies,Urban Studies,720,1.0
85,N333112402279,F,Singapore,ay1415,ANTHROPOLOGY,64.751,4,62.5375,Anthropology,Global Affairs,640,0.0
86,N336112423279,F,Other,ay1415,ARTS AND HUMANITIES,73.03699999999998,2,71.5625,Global Affairs,Undeclared,750,0.0
87,N337112421279,F,Singapore,ay1415,ECONOMICS,83.78299999999999,4,85.4,Economics,Psychology,760,0.0
88,N338112418279,F,Singapore,ay1415,ANTHROPOLOGY,76.455,3,68.175,Anthropology,Undecided,710,0.0
89,N339112414279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,85.425,4,89.7625,"Philosophy, Politics and Economics",Global Affairs,760,1.0
90,N340112405279,F,Singapore,ay1415,URBAN STUDIES,72.711,4,64.7625,Arts & Humanities,Anthropology,650,0.0
91,N342112402279,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.514,4,80.0875,Economics,Undeclared,780,0.0
92,N343112425279,M,Southeast Asia,ay1415,GLOBAL AFFAIRS,79.411,4,81.575,Physical Sciences,Undeclared,790,0.0
93,N344112424279,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.199,4,74.3375,"Philosophy, Politics and Economics",Global Affairs,630,0.0
94,N346112421279,M,Singapore,ay1415,PSYCHOLOGY,78.851,2,76.8875,Literature,Philosophy,720,0.0
95,N347112418279,F,Singapore,ay1415,PSYCHOLOGY,70.78399999999998,4,66.6125,Psychology,Philosophy,690,0.0
96,N349112413279,F,North America,ay1415,URBAN STUDIES,82.676,4,80.8375,"Philosophy, Politics and Economics",Undeclared,800,0.0
97,N350112401279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,88.294,3,90.6875,Economics,Undeclared,790,1.0
98,N351112402279,F,Singapore,ay1415,GLOBAL AFFAIRS,75.805,3,64.0,Economics,Global Affairs,800,0.0
99,N352112425279,M,Singapore,ay1415,DDP LAW,79.033,4,76.7875,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",780,0.0
100,N353112424279,F,Singapore,ay1415,ARTS AND HUMANITIES,65.439,2,47.1875,Anthropology,Arts & Humanities,750,0.0
101,N354112423279,M,Singapore,ay1415,ECONOMICS,89.54799999999999,4,96.35,Economics,Philosophy,780,1.0
102,N355112421279,F,Singapore,ay1415,ANTHROPOLOGY,72.73100000000002,4,65.1625,Global Affairs,Psychology,790,0.0
103,N356112418279,F,Europe,ay1415,GLOBAL AFFAIRS,79.361,3,74.2375,Global Affairs,"Philosophy, Politics and Economics",640,0.0
104,N391113401219,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,72.904,4,71.275,"Philosophy, Politics and Economics",Arts & Humanities,660,0.0
105,N392113402219,F,Singapore,ay1415,HISTORY,69.88600000000001,4,63.85,Arts & Humanities,"Philosophy, Politics and Economics",800,0.0
106,N393113425219,F,Southeast Asia,ay1415,DDP LAW,78.73899999999998,4,81.1125,"Philosophy, Politics and Economics",Undeclared,720,0.0
107,N394113424219,F,Singapore,ay1415,HISTORY,73.458,4,59.925,Global Affairs,"Philosophy, Politics and Economics",680,0.0
108,N395113423219,F,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.361,3,80.375,Arts & Humanities,Life Sciences,710,0.0
109,N365113414221,F,Southeast Asia,ay1415,ARTS AND HUMANITIES,63.773,2,52.1125,Economics,Undeclared,640,0.0
110,N366113413221,F,North America,ay1415,LIFE SCIENCES,88.072,4,92.725,Economics,Undeclared,780,1.0
111,N367113412221,M,Europe,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.384,4,92.45,"Mathematical, Computational and Statistical Sciences",Undeclared,770,1.0
112,N368113410221,M,East Asia,ay1415,HISTORY,77.7,4,72.2,History,Undeclared,720,0.0
113,N370113424221,M,North America,ay1415,LIFE SCIENCES,81.706,1,80.2,Arts & Humanities,Undeclared,670,0.0
114,N372113421221,F,Other,ay1415,LIFE SCIENCES,78.545,3,73.9875,Physical Sciences,Undeclared,710,0.0
115,N374113414221,M,Other,ay1415,ECONOMICS,75.529,4,69.7125,Psychology,Undeclared,800,0.0
116,N376113412221,M,Other,ay1415,HISTORY,75.601,2,64.9375,Arts & Humanities,Undeclared,760,0.0
117,N377113410221,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.258,4,79.2125,"Philosophy, Politics and Economics",Undeclared,780,0.0
118,N378113408221,F,East Asia,ay1415,GLOBAL AFFAIRS,82.163,4,78.5375,Urban Studies,"Philosophy, Politics and Economics",800,0.0
119,N379113405221,F,South Asia,ay1415,LITERATURE,70.495,3,56.7375,Global Affairs,Literature,580,0.0
120,N380113423221,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.12,3,71.35,Environmental Studies,Undeclared,760,0.0
121,N381113421221,F,Other,ay1415,ECONOMICS,74.839,4,71.175,Undecided,Undeclared,780,0.0
122,N385113412221,F,Europe,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.50399999999998,4,87.2875,Physical Sciences,Undeclared,780,1.0
123,N386113410221,F,North America,ay1415,ENVIRONMENTAL STUDIES,76.512,1,72.25,Economics,Arts & Humanities,650,0.0
124,N388113405221,F,North America,ay1415,PHILOSOPHY,76.87,4,80.2625,Anthropology,Global Affairs,800,0.0
125,N389113401221,F,Europe,ay1415,LITERATURE,72.40899999999998,4,72.6375,Global Affairs,Undeclared,630,0.0
126,N390113421221,F,South Asia,ay1415,ECONOMICS,73.211,3,65.825,Economics,Undeclared,770,0.0
127,N308113412226,F,Singapore,ay1415,GLOBAL AFFAIRS,72.539,3,69.7125,Global Affairs,Arts & Humanities,780,0.0
128,N309113410226,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",86.18700000000003,4,85.2125,Global Affairs,History,780,0.0
129,N310113425226,F,Singapore,ay1415,PHYSICAL SCIENCES,77.824,4,74.4,Global Affairs,Undeclared,780,0.0
130,N311113424226,M,Singapore,ay1415,ARTS AND HUMANITIES,75.893,4,73.35,Psychology,"Philosophy, Politics and Economics",780,0.0
131,N312113423226,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,88.68,4,96.625,Anthropology,Undeclared,800,1.0
132,N313113421226,F,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.98899999999998,4,92.3,Global Affairs,Undeclared,790,1.0
133,N316113413226,F,Singapore,ay1415,ARTS AND HUMANITIES,75.112,4,65.85,Arts & Humanities,Psychology,720,0.0
134,N317113412226,F,Singapore,ay1415,URBAN STUDIES,80.374,4,83.75,Economics,"Philosophy, Politics and Economics",730,0.0
135,N318113410226,F,Singapore,ay1415,ECONOMICS,79.678,1,72.975,Economics,Global Affairs,780,0.0
136,N319113408226,F,Singapore,ay1415,URBAN STUDIES,71.442,4,68.3125,Global Affairs,Undeclared,630,0.0
137,N320113424226,F,Europe,ay1415,LITERATURE,73.972,2,69.75,Literature,Undeclared,800,0.0
138,N321113423226,F,Singapore,ay1415,ANTHROPOLOGY,75.277,4,75.075,Anthropology,Arts & Humanities,670,0.0
139,N324113414226,M,South Asia,ay1415,ENVIRONMENTAL STUDIES,79.562,4,86.025,Life Sciences,Undeclared,720,0.0
140,N325113413226,F,Singapore,ay1415,HISTORY,82.851,4,88.875,"Philosophy, Politics and Economics",Undeclared,800,1.0
141,N326113412226,F,Southeast Asia,ay1415,ARTS AND HUMANITIES,68.56,2,51.05,Psychology,Philosophy,640,0.0
142,N327113410226,M,Singapore,ay1415,LITERATURE,76.251,4,71.45,Literature,Arts & Humanities,720,0.0
143,N328113408226,F,Singapore,ay1415,DDP LAW,80.76899999999998,4,85.475,Urban Studies,"Philosophy, Politics and Economics",710,0.0
144,N329113405226,F,Singapore,ay1415,HISTORY,78.179,4,78.975,History,Literature,660,0.0
145,N331113421226,F,Singapore,ay1415,LIFE SCIENCES,76.357,4,69.1125,Life Sciences,Physical Sciences,720,0.0
146,N332113418226,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.212,4,88.05,Physical Sciences,Undeclared,800,1.0
147,N333113414226,F,Singapore,ay1415,HISTORY,76.126,1,65.6,Literature,Arts & Humanities,680,0.0
148,N398113418236,F,Singapore,ay1415,ANTHROPOLOGY,77.351,2,41.9125,"Philosophy, Politics and Economics",Global Affairs,640,0.0
149,N325113408238,F,Singapore,ay1415,ANTHROPOLOGY,72.719,4,73.525,Psychology,Economics,710,0.0
150,N332113424241,M,Singapore,ay1415,ANTHROPOLOGY,72.914,2,62.275,Arts & Humanities,"Philosophy, Politics and Economics",670,0.0
151,N331109413242,M,Singapore,ay1516,HISTORY,83.16,4,82.465,History,"Philosophy, Politics and Economics",740,0.0
152,N339112413213,F,Singapore,ay1516,ANTHROPOLOGY,88.9,4,93.505,Life Sciences,Undecided,780,1.0
153,N378112402216,M,Southeast Asia,ay1516,PHYSICAL SCIENCES,83.42,4,81.8175,Physical Sciences,Undeclared,770,0.0
154,N311112425217,F,Singapore,ay1516,ANTHROPOLOGY,83.63,4,87.8425,Literature,Psychology,760,1.0
155,N312112410220,F,East Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.99,4,91.865,Life Sciences,Psychology,800,1.0
156,N323113418280,F,Singapore,ay1516,ARTS AND HUMANITIES,80.73,4,80.97,Arts & Humanities,Literature,760,0.0
157,N324113414280,F,Singapore,ay1516,DDP LAW,85.71,4,90.1675,Global Affairs,Philosophy,780,1.0
158,N325113413280,F,Singapore,ay1516,HISTORY,84.1,4,84.3975,History,Arts & Humanities,730,0.0
159,N326113412280,M,Singapore,ay1516,HISTORY,81.64,3,76.105,"Philosophy, Politics and Economics",Undeclared,710,0.0
160,N327113410280,F,Singapore,ay1516,ANTHROPOLOGY,82.55,4,87.5925,Life Sciences,"Philosophy, Politics and Economics",760,1.0
161,N328113408280,M,Singapore,ay1516,ARTS AND HUMANITIES,80.54,3,78.545,Philosophy,Psychology,780,0.0
162,N329113405280,F,Singapore,ay1516,HISTORY,76.58,3,75.8025,History,Arts & Humanities,790,0.0
163,N330113423280,M,East Asia,ay1516,ECONOMICS,81.85,4,85.9425,Urban Studies,Urban Studies,800,0.0
164,N331113421280,F,Southeast Asia,ay1516,URBAN STUDIES,85.46,4,88.7975,Global Affairs,Undecided,740,1.0
165,N332113418280,M,Singapore,ay1516,HISTORY,82.49,3,79.8575,Global Affairs,"Philosophy, Politics and Economics",660,0.0
166,N334113413280,M,Singapore,ay1516,URBAN STUDIES,85.03,4,90.0125,Economics,Literature,790,1.0
167,N335113412280,M,Singapore,ay1516,LITERATURE,77.69,4,79.0025,Philosophy,Undeclared,690,0.0
168,N336113410280,M,Singapore,ay1516,DDP LAW,80.38,4,79.2775,"Philosophy, Politics and Economics",Economics,710,0.0
169,N337113408280,M,Singapore,ay1516,PSYCHOLOGY,83.54,4,84.5325,Psychology,Environmental Studies,690,0.0
170,N340113421280,F,Singapore,ay1516,PSYCHOLOGY,80.76,4,81.245,Psychology,"Philosophy, Politics and Economics",780,0.0
171,N341113418280,F,Singapore,ay1516,LIFE SCIENCES,81.99,4,86.455,Life Sciences,Undecided,800,1.0
172,N342113414280,F,Singapore,ay1516,ANTHROPOLOGY,74.45,4,67.2575,Anthropology,Undeclared,650,0.0
173,N343113413280,M,Singapore,ay1516,LIFE SCIENCES,87.88,4,87.1675,Psychology,Undeclared,800,1.0
174,N344113412280,F,Singapore,ay1516,HISTORY,77.74,4,71.3575,"Philosophy, Politics and Economics",Arts & Humanities,760,0.0
175,N345113410280,F,Singapore,ay1516,PSYCHOLOGY,92.15,4,94.0525,Urban Studies,Arts & Humanities,800,1.0
176,N346113408280,F,Singapore,ay1516,ANTHROPOLOGY,71.3,4,62.7025,Global Affairs,"Philosophy, Politics and Economics",770,0.0
177,N347113405280,M,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",85.41,4,90.3375,Economics,Global Affairs,780,1.0
178,N348113401280,F,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.28,4,81.6725,Economics,"Philosophy, Politics and Economics",780,0.0
179,N349113402280,M,Singapore,ay1516,ECONOMICS,89.14,4,91.0,Global Affairs,"Philosophy, Politics and Economics",780,1.0
180,N350113418280,F,Singapore,ay1516,DDP LAW,84.79,4,88.8925,Global Affairs,"Philosophy, Politics and Economics",780,1.0
181,N352113413280,F,Southeast Asia,ay1516,ECONOMICS,87.29,4,92.6925,Life Sciences,Anthropology,790,1.0
182,N353113412280,M,Singapore,ay1516,URBAN STUDIES,81.58,4,84.805,Philosophy,Literature,780,0.0
183,N354113410280,F,Singapore,ay1516,HISTORY,82.56,3,85.9375,Global Affairs,Arts & Humanities,760,0.0
184,N355113408280,M,Singapore,ay1516,PSYCHOLOGY,78.23,3,76.7075,Life Sciences,Anthropology,780,0.0
185,N356113405280,M,Singapore,ay1516,LITERATURE,92.09,4,94.5425,Arts & Humanities,Undeclared,800,1.0
186,N358113402280,F,Singapore,ay1516,PSYCHOLOGY,78.9,4,75.4025,Psychology,Life Sciences,730,0.0
187,N359113425280,M,Singapore,ay1516,GLOBAL AFFAIRS,81.55,4,80.225,"Philosophy, Politics and Economics",History,710,0.0
188,N360113414280,F,Singapore,ay1516,ARTS AND HUMANITIES,82.15,4,84.97,Arts & Humanities,Urban Studies,800,0.0
189,N361113413280,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,78.05,3,75.6,History,Global Affairs,670,0.0
190,N362113412280,F,Singapore,ay1516,ANTHROPOLOGY,87.01,4,92.0625,Literature,Psychology,800,1.0
191,N363113410280,M,Singapore,ay1516,URBAN STUDIES,85.78,3,89.1075,Arts & Humanities,Economics,780,1.0
192,N365113405280,M,Singapore,ay1516,PHILOSOPHY,84.32,4,90.46,"Philosophy, Politics and Economics",Global Affairs,780,1.0
193,N366113401280,M,Singapore,ay1516,DDP LAW,85.95,4,87.9375,Psychology,Anthropology,700,1.0
194,N367113402280,M,Singapore,ay1516,ECONOMICS,88.18,4,88.495,Economics,"Philosophy, Politics and Economics",750,1.0
195,N368113425280,F,Singapore,ay1516,PSYCHOLOGY,84.97,4,88.1825,Psychology,Undeclared,760,1.0
196,N369113424280,M,Singapore,ay1516,ARTS AND HUMANITIES,70.42,4,64.3975,Arts & Humanities,Psychology,710,0.0
197,N370113413280,M,Singapore,ay1516,HISTORY,91.13,4,92.545,History,Literature,780,1.0
198,N371113412280,F,Southeast Asia,ay1516,ECONOMICS,79.4,4,76.8425,"Mathematical, Computational and Statistical Sciences",Undeclared,780,0.0
199,N372113410280,M,Singapore,ay1516,PHILOSOPHY,79.99,3,78.1925,"Philosophy, Politics and Economics",History,780,0.0
200,N375113401280,M,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.42,4,88.7125,"Philosophy, Politics and Economics",Global Affairs,760,1.0
201,N376113402280,M,Singapore,ay1516,URBAN STUDIES,82.0,4,85.4475,Economics,Undeclared,740,0.0
202,N377113425280,M,Singapore,ay1516,HISTORY,80.21,3,78.1425,History,Anthropology,730,0.0
203,N378113424280,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,83.18,4,93.43,Physical Sciences,Undeclared,800,1.0
204,N381113410280,F,Singapore,ay1516,LITERATURE,80.27,4,83.2875,Literature,Arts & Humanities,790,0.0
205,N383113405280,F,Singapore,ay1516,URBAN STUDIES,79.48,4,77.9925,Global Affairs,Undeclared,760,0.0
206,N384113401280,F,Singapore,ay1516,URBAN STUDIES,81.17,4,78.89,Urban Studies,Anthropology,630,0.0
207,N385113402280,F,Singapore,ay1516,ANTHROPOLOGY,78.64,4,78.04,Arts & Humanities,"Philosophy, Politics and Economics",780,0.0
208,N386113425280,M,Singapore,ay1516,ENVIRONMENTAL STUDIES,85.07,4,84.62,Arts & Humanities,Environmental Studies,730,0.0
209,N387113424280,F,Southeast Asia,ay1516,DDP LAW,83.41,4,83.23,Arts & Humanities,Economics,770,0.0
