,PIN,Sex.x,Region,Year,Major,Grade,IndGrd2,Academic.Interest.1,Academic.Interest.2,SAT,HSG
16,N384112412241,M,Singapore,ay1415,DDP LAW,83.661,89.97500,Economics,"Philosophy, Politics and Economics",NA,NA
17,N385112421249,M,Singapore,ay1415,HISTORY,78.591,71.9875,Life Sciences,Anthropology,NA,NA
18,N320112401251,M,Singapore,ay1415,ANTHROPOLOGY,83.191,88.675,Arts & Humanities,Philosophy,NA,NA
19,N381112413252,M,Singapore,ay1415,DDP LAW & GLOBAL AFFAIRS Major,88.899,91.3375,Literature,Arts & Humanities,800,NA
20,N306112413255,M,Singapore,ay1415,ANTHROPOLOGY,72.651,62.8,Arts & Humanities,Psychology,NA,NA
21,N384112402255,M,Singapore,ay1415,ECONOMICS,87.787,89.2125,Economics,NA,NA,NA
22,N388112421255,M,Singapore,ay1415,HISTORY,89.643,92.875,Global Affairs,History,NA,NA
23,N370112412264,F,Singapore,ay1415,LITERATURE,66.464,53.4625,History,Global Affairs,NA,NA
24,N358112414278,F,Singapore,ay1415,ARTS AND HUMANITIES,73.223,65.675,Psychology,Anthropology,NA,NA
25,N360112401278,M,North America,ay1415,PHYSICAL SCIENCES,88.835,91.2625,Physical Sciences,NA,780,NA
26,N362112425278,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.117,69.4125,Arts & Humanities,History,NA,NA
27,N363112424278,M,North America,ay1415,ENVIRONMENTAL STUDIES,80.624,78.575,Physical Sciences,NA,800,NA
28,N364112423278,F,South Asia,ay1415,LITERATURE,75.296,64.375,Global Affairs,Literature,770,NA
29,N365112421278,M,East Asia,ay1415,GLOBAL AFFAIRS,80.106,79.15,Life Sciences,NA,780,NA
30,N366112418278,F,Singapore,ay1415,DDP LAW & PSYCHOLOGY Major,77.524,71.95,Psychology,"Philosophy, Politics and Economics",NA,NA
31,N367112414278,F,Singapore,ay1415,ARTS AND HUMANITIES,78.232,67.0125,Arts & Humanities,Economics,NA,NA
32,N368112413278,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",78.125,88.0625,Physical Sciences,NA,800,NA
33,N370112402278,M,Singapore,ay1415,PSYCHOLOGY,82.83,80.3,Psychology,Economics,NA,NA
34,N372112424278,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",85.321,82.925,"Philosophy, Politics and Economics",NA,760,NA
35,N373112423278,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",84.212,87.775,Literature,Anthropology,NA,NA
36,N374112421278,F,Singapore,ay1415,PHYSICAL SCIENCES,85.272,87.275,Life Sciences,Physical Sciences,NA,NA
37,N375112418278,F,Southeast Asia,ay1415,LITERATURE,81.742,87.85,Literature,NA,790,NA
38,N376112414278,F,Singapore,ay1415,GLOBAL AFFAIRS,76.543,78.725,Psychology,Arts & Humanities,NA,NA
39,N377112413278,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",72.685,66,"Philosophy, Politics and Economics",Arts & Humanities,720,NA
40,N378112412278,F,East Asia,ay1415,ENVIRONMENTAL STUDIES,82.485,87.125,Psychology,Life Sciences,NA,NA
41,N380112425278,M,East Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.498,75.675,Arts & Humanities,Global Affairs,780,NA
42,N381112424278,M,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",79.494,80.7375,Physical Sciences,"Mathematical, Computational and Statistical Sciences",800,NA
43,N382112423278,F,North America,ay1415,URBAN STUDIES,78.995,69.15,Global Affairs,NA,NA,NA
44,N383112421278,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.379,84.7625,Psychology,Undecided,NA,NA
45,N384112418278,F,Singapore,ay1415,DDP LAW,84.11,85.525,"Philosophy, Politics and Economics",Literature,NA,NA
46,N386112413278,F,Singapore,ay1415,PSYCHOLOGY,82.646,80.975,Psychology,Undecided,NA,NA
47,N387112412278,F,Singapore,ay1415,ANTHROPOLOGY,82.291,76.65,Literature,Psychology,NA,NA
48,N388112410278,F,North America,ay1415,ARTS AND HUMANITIES,72.193,46.65,NA,NA,NA,NA
49,N389112408278,M,North America,ay1415,DDP Law,87.005,88.475,Undecided,Undecided,NA,NA
50,N390112424278,M,Singapore,ay1415,ECONOMICS,82.493,86.75,Economics,Psychology,NA,NA
51,N391112423278,F,North America,ay1415,ANTHROPOLOGY,81.007,78.9,Global Affairs,NA,800,NA
52,N392112421278,F,Singapore,ay1415,PSYCHOLOGY,74.6,75.25,Psychology,Arts & Humanities,NA,NA
53,N393112418278,F,Singapore,ay1415,ECONOMICS,76.423,64.0875,"Philosophy, Politics and Economics",Global Affairs,NA,NA
54,N394112414278,M,Other,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",76.356,77.4375,Economics,NA,670,NA
55,N396112412278,F,North America,ay1415,URBAN STUDIES,71.76,61.075,Global Affairs,Environmental Studies,760,NA
56,N397112410278,F,North America,ay1415,ANTHROPOLOGY,85.115,82.2,Undecided,Undecided,NA,NA
57,N398112408278,F,Singapore,ay1415,ANTHROPOLOGY,74.718,74.4375,Global Affairs,Literature,740,NA
58,N399112405278,F,Singapore,ay1415,URBAN STUDIES,74.236,68.4875,Anthropology,Environmental Studies,NA,NA
59,N300112413279,M,Singapore,ay1415,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",86.901,88.4375,"Philosophy, Politics and Economics",NA,NA,NA
60,N301112412279,M,Europe,ay1415,ECONOMICS,85.15,86.3625,"Mathematical, Computational and Statistical Sciences",NA,740,NA
61,N302112410279,M,North America,ay1415,GLOBAL AFFAIRS,74.367,65.125,"Philosophy, Politics and Economics",Global Affairs,660,NA
62,N303112408279,M,Singapore,ay1415,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",87.579,91.975,Global Affairs,"Philosophy, Politics and Economics",NA,NA
63,N304112405279,M,Singapore,ay1415,ARTS AND HUMANITIES,80.468,70.9,Arts & Humanities,Literature,NA,NA
64,N305112401279,F,Singapore,ay1415,URBAN STUDIES,79.563,80.6375,Urban Studies,Anthropology,NA,NA
65,N306112402279,M,Singapore,ay1415,PSYCHOLOGY,84.309,85.825,Anthropology,History,750,NA
66,N307112425279,F,Singapore,ay1415,DDP LAW,83.634,86.4375,Arts & Humanities,Global Affairs,760,NA
67,N308112424279,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",89.147,97.425,"Philosophy, Politics and Economics",Economics,NA,NA
68,N309112423279,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",71.42,60.9,Undecided,Undecided,NA,NA
69,N310112412279,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.662,83.6875,Life Sciences,Arts & Humanities,NA,NA
70,N311112410279,F,Singapore,ay1415,PSYCHOLOGY,81.689,78.5,Psychology,Physical Sciences,NA,NA
71,N313112405279,F,Singapore,ay1415,ECONOMICS,79.979,85.7125,Economics,History,NA,NA
72,N314112401279,M,East Asia,ay1415,PHILOSOPHY,81.251,72.05,"Philosophy, Politics and Economics",Anthropology,NA,NA
73,N315112402279,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",71.927,53.5,"Philosophy, Politics and Economics",Economics,750,NA
74,N316112425279,M,Singapore,ay1415,LIFE SCIENCES,78.801,77.025,Life Sciences,NA,NA,NA
75,N317112424279,M,Singapore,ay1415,ECONOMICS,84.879,92.3,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA
76,N319112421279,M,Southeast Asia,ay1415,PSYCHOLOGY,83.153,87.8875,Economics,NA,710,NA
77,N320112410279,M,North America,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.201,91.225,Arts & Humanities,NA,800,NA
78,N321112408279,F,Singapore,ay1415,URBAN STUDIES,73.04,67.3625,Global Affairs,Urban Studies,NA,NA
79,N322112405279,M,North America,ay1415,ARTS AND HUMANITIES,73.385,63.7875,Undecided,NA,630,NA
80,N323112401279,M,Singapore,ay1415,PSYCHOLOGY,79.721,85.175,Philosophy,"Philosophy, Politics and Economics",NA,NA
81,N324112402279,M,Singapore,ay1415,ECONOMICS,76.802,67.5625,"Philosophy, Politics and Economics",Literature,NA,NA
82,N325112425279,F,Singapore,ay1415,ENVIRONMENTAL STUDIES,71.771,73.9625,Life Sciences,Environmental Studies,NA,NA
83,N326112424279,M,South Asia,ay1415,GLOBAL AFFAIRS,77.366,71.3375,"Philosophy, Politics and Economics",Global Affairs,NA,NA
84,N327112423279,F,Singapore,ay1415,LITERATURE,84.101,84.1,Anthropology,Literature,NA,NA
85,N328112421279,M,Singapore,ay1415,DDP LAW,76.872,73.7125,Arts & Humanities,Literature,NA,NA
86,N329112418279,F,Singapore,ay1415,PHILOSOPHY,78.784,52.725,History,Arts & Humanities,NA,NA
87,N330112408279,M,Other,ay1415,LIFE SCIENCES,77.239,76.6,Undecided,Undecided,690,NA
88,N331112405279,M,Singapore,ay1415,PSYCHOLOGY,78.178,82.4040754625,Anthropology,History,NA,NA
89,N332112401279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,83.322,87.6625,Environmental Studies,Urban Studies,NA,NA
90,N333112402279,F,Singapore,ay1415,ANTHROPOLOGY,64.751,62.5375,Anthropology,Global Affairs,NA,NA
91,N336112423279,F,Other,ay1415,ARTS AND HUMANITIES,73.037,71.5625,Global Affairs,NA,750,NA
92,N337112421279,F,Singapore,ay1415,ECONOMICS,83.783,85.4,Economics,Psychology,760,NA
93,N338112418279,F,Singapore,ay1415,ANTHROPOLOGY,76.455,68.175,Anthropology,Undecided,NA,NA
94,N339112414279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,85.425,89.7625,"Philosophy, Politics and Economics",Global Affairs,NA,NA
95,N340112405279,F,Singapore,ay1415,URBAN STUDIES,72.711,64.7625,Arts & Humanities,Anthropology,NA,NA
96,N342112402279,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.514,80.0875,Economics,NA,NA,NA
97,N343112425279,M,Southeast Asia,ay1415,GLOBAL AFFAIRS,79.411,81.575,Physical Sciences,NA,790,NA
98,N344112424279,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.199,74.3375,"Philosophy, Politics and Economics",Global Affairs,NA,NA
99,N346112421279,M,Singapore,ay1415,PSYCHOLOGY,78.851,76.8875,Literature,Philosophy,NA,NA
100,N347112418279,F,Singapore,ay1415,PSYCHOLOGY,70.784,66.6125,Psychology,Philosophy,NA,NA
101,N349112413279,F,North America,ay1415,URBAN STUDIES,82.676,80.8375,"Philosophy, Politics and Economics",NA,800,NA
102,N350112401279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,88.294,90.6875,Economics,NA,790,NA
103,N351112402279,F,Singapore,ay1415,GLOBAL AFFAIRS,75.805,64,Economics,Global Affairs,NA,NA
104,N352112425279,M,Singapore,ay1415,DDP LAW,79.033,76.7875,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",NA,NA
105,N353112424279,F,Singapore,ay1415,ARTS AND HUMANITIES,65.439,47.1875,Anthropology,Arts & Humanities,NA,NA
106,N354112423279,M,Singapore,ay1415,ECONOMICS,89.548,96.35,Economics,Philosophy,NA,NA
107,N355112421279,F,Singapore,ay1415,ANTHROPOLOGY,72.731,65.1625,Global Affairs,Psychology,NA,NA
108,N356112418279,F,Europe,ay1415,GLOBAL AFFAIRS,79.361,74.2375,Global Affairs,"Philosophy, Politics and Economics",640,NA
109,N391113401219,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,72.904,71.275,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA
110,N392113402219,F,Singapore,ay1415,HISTORY,69.886,63.85,Arts & Humanities,"Philosophy, Politics and Economics",800,NA
111,N393113425219,F,Southeast Asia,ay1415,DDP LAW,78.739,81.1125,"Philosophy, Politics and Economics",NA,NA,NA
112,N394113424219,F,Singapore,ay1415,HISTORY,73.458,59.925,Global Affairs,"Philosophy, Politics and Economics",NA,NA
113,N395113423219,F,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.361,80.375,Arts & Humanities,Life Sciences,NA,NA
114,N396113421219,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.906,66.3750,Literature,Arts & Humanities,750,NA
115,N365113414221,F,Southeast Asia,ay1415,ARTS AND HUMANITIES,63.773,52.1125,Economics,NA,640,NA
116,N366113413221,F,North America,ay1415,LIFE SCIENCES,88.072,92.725,Economics,NA,780,NA
117,N367113412221,M,Europe,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.384,92.45,"Mathematical, Computational and Statistical Sciences",NA,NA,NA
118,N368113410221,M,East Asia,ay1415,HISTORY,77.7,72.2,History,NA,720,NA
119,N369113408221,M,North America,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",82.842,93.3000,Physical Sciences,NA,790,NA
120,N370113424221,M,North America,ay1415,LIFE SCIENCES,81.706,80.2,Arts & Humanities,NA,670,NA
121,N372113421221,F,Other,ay1415,LIFE SCIENCES,78.545,73.9875,Physical Sciences,NA,710,NA
122,N374113414221,M,Other,ay1415,ECONOMICS,75.529,69.7125,Psychology,NA,800,NA
123,N376113412221,M,Other,ay1415,HISTORY,75.601,64.9375,Arts & Humanities,NA,760,NA
124,N377113410221,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.258,79.2125,"Philosophy, Politics and Economics",NA,780,NA
125,N378113408221,F,East Asia,ay1415,GLOBAL AFFAIRS,82.163,78.5375,Urban Studies,"Philosophy, Politics and Economics",NA,NA
126,N379113405221,F,South Asia,ay1415,LITERATURE,70.495,56.7375,Global Affairs,Literature,580,NA
127,N380113423221,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.12,71.35,Environmental Studies,NA,760,NA
128,N381113421221,F,Other,ay1415,ECONOMICS,74.839,71.175,Undecided,NA,NA,NA
129,N382113418221,F,Other,ay1415,GLOBAL AFFAIRS,79.039,76.1000,Global Affairs,NA,690,NA
130,N385113412221,F,Europe,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.504,87.2875,Physical Sciences,NA,780,NA
131,N386113410221,F,North America,ay1415,ENVIRONMENTAL STUDIES,76.512,72.25,Economics,Arts & Humanities,650,NA
132,N388113405221,F,North America,ay1415,PHILOSOPHY,76.87,80.2625,Anthropology,Global Affairs,800,NA
133,N389113401221,F,Europe,ay1415,LITERATURE,72.409,72.6375,Global Affairs,NA,NA,NA
134,N390113421221,F,South Asia,ay1415,ECONOMICS,73.211,65.825,Economics,NA,770,NA
135,N308113412226,F,Singapore,ay1415,GLOBAL AFFAIRS,72.539,69.7125,Global Affairs,Arts & Humanities,NA,NA
136,N309113410226,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",86.187,85.2125,Global Affairs,History,780,NA
137,N310113425226,F,Singapore,ay1415,PHYSICAL SCIENCES,77.824,74.4,Global Affairs,NA,NA,NA
138,N311113424226,M,Singapore,ay1415,ARTS AND HUMANITIES,75.893,73.35,Psychology,"Philosophy, Politics and Economics",780,NA
139,N312113423226,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,88.68,96.625,Anthropology,NA,NA,NA
140,N313113421226,F,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.989,92.3,Global Affairs,NA,NA,NA
141,N316113413226,F,Singapore,ay1415,ARTS AND HUMANITIES,75.112,65.85,Arts & Humanities,Psychology,NA,NA
142,N317113412226,F,Singapore,ay1415,URBAN STUDIES,80.374,83.75,Economics,"Philosophy, Politics and Economics",NA,NA
143,N318113410226,F,Singapore,ay1415,ECONOMICS,79.678,72.975,Economics,Global Affairs,NA,NA
144,N319113408226,F,Singapore,ay1415,URBAN STUDIES,71.442,68.3125,Global Affairs,NA,630,NA
145,N320113424226,F,Europe,ay1415,LITERATURE,73.972,69.75,Literature,NA,NA,NA
146,N321113423226,F,Singapore,ay1415,ANTHROPOLOGY,75.277,75.075,Anthropology,Arts & Humanities,670,NA
147,N323113418226,F,Singapore,ay1415,URBAN STUDIES,84.666,78.775,Economics,"Philosophy, Politics and Economics",790,NA
148,N324113414226,M,South Asia,ay1415,ENVIRONMENTAL STUDIES,79.562,86.025,Life Sciences,NA,720,NA
149,N325113413226,F,Singapore,ay1415,HISTORY,82.851,88.875,"Philosophy, Politics and Economics",NA,NA,NA
150,N326113412226,F,Southeast Asia,ay1415,ARTS AND HUMANITIES,68.56,51.05,Psychology,Philosophy,NA,NA
151,N327113410226,M,Singapore,ay1415,LITERATURE,76.251,71.45,Literature,Arts & Humanities,NA,NA
152,N328113408226,F,Singapore,ay1415,DDP LAW,80.769,85.475,Urban Studies,"Philosophy, Politics and Economics",NA,NA
153,N329113405226,F,Singapore,ay1415,HISTORY,78.179,78.975,History,Literature,NA,NA
154,N331113421226,F,Singapore,ay1415,LIFE SCIENCES,76.357,69.1125,Life Sciences,Physical Sciences,NA,NA
155,N332113418226,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.212,88.05,Physical Sciences,NA,800,NA
156,N333113414226,F,Singapore,ay1415,HISTORY,76.126,65.6,Literature,Arts & Humanities,NA,NA
157,N398113418236,F,Singapore,ay1415,ANTHROPOLOGY,77.351,41.9125,"Philosophy, Politics and Economics",Global Affairs,NA,NA
158,N325113408238,F,Singapore,ay1415,ANTHROPOLOGY,72.719,73.525,Psychology,Economics,NA,NA
159,N332113424241,M,Singapore,ay1415,ANTHROPOLOGY,72.914,62.275,Arts & Humanities,"Philosophy, Politics and Economics",NA,NA
160,N331109413242,M,Singapore,ay1516,HISTORY,83.16,82.465,History,"Philosophy, Politics and Economics",NA,NA
161,N339112413213,F,Singapore,ay1516,ANTHROPOLOGY,88.9,93.505,Life Sciences,Undecided,NA,NA
162,N378112402216,M,Southeast Asia,ay1516,PHYSICAL SCIENCES,83.42,81.8175,Physical Sciences,NA,NA,NA
163,N311112425217,F,Singapore,ay1516,ANTHROPOLOGY,83.63,87.8425,Literature,Psychology,NA,NA
164,N312112410220,F,East Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.99,91.865,Life Sciences,Psychology,800,A
165,N323113418280,F,Singapore,ay1516,ARTS AND HUMANITIES,80.73,80.97,Arts & Humanities,Literature,NA,NA
166,N324113414280,F,Singapore,ay1516,DDP LAW,85.71,90.1675,Global Affairs,Philosophy,NA,NA
167,N325113413280,F,Singapore,ay1516,HISTORY,84.1,84.3975,History,Arts & Humanities,NA,NA
168,N326113412280,M,Singapore,ay1516,HISTORY,81.64,76.105,"Philosophy, Politics and Economics",NA,710,NA
169,N327113410280,F,Singapore,ay1516,ANTHROPOLOGY,82.55,87.5925,Life Sciences,"Philosophy, Politics and Economics",NA,NA
170,N328113408280,M,Singapore,ay1516,ARTS AND HUMANITIES,80.54,78.545,Philosophy,Psychology,NA,NA
171,N329113405280,F,Singapore,ay1516,HISTORY,76.58,75.8025,History,Arts & Humanities,NA,NA
172,N330113423280,M,East Asia,ay1516,ECONOMICS,81.85,85.9425,Urban Studies,Urban Studies,800,NA
173,N331113421280,F,Southeast Asia,ay1516,URBAN STUDIES,85.46,88.7975,Global Affairs,Undecided,NA,NA
174,N332113418280,M,Singapore,ay1516,HISTORY,82.49,79.8575,Global Affairs,"Philosophy, Politics and Economics",NA,NA
175,N334113413280,M,Singapore,ay1516,URBAN STUDIES,85.03,90.0125,Economics,Literature,NA,NA
176,N335113412280,M,Singapore,ay1516,LITERATURE,77.69,79.0025,Philosophy,NA,NA,NA
177,N336113410280,M,Singapore,ay1516,DDP LAW,80.38,79.2775,"Philosophy, Politics and Economics",Economics,NA,NA
178,N337113408280,M,Singapore,ay1516,PSYCHOLOGY,83.54,84.5325,Psychology,Environmental Studies,NA,NA
179,N340113421280,F,Singapore,ay1516,PSYCHOLOGY,80.76,81.245,Psychology,"Philosophy, Politics and Economics",NA,NA
180,N341113418280,F,Singapore,ay1516,LIFE SCIENCES,81.99,86.455,Life Sciences,Undecided,NA,NA
181,N342113414280,F,Singapore,ay1516,ANTHROPOLOGY,74.45,67.2575,Anthropology,NA,NA,NA
182,N343113413280,M,Singapore,ay1516,LIFE SCIENCES,87.88,87.1675,Psychology,NA,NA,NA
183,N344113412280,F,Singapore,ay1516,HISTORY,77.74,71.3575,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA
184,N345113410280,F,Singapore,ay1516,PSYCHOLOGY,92.15,94.0525,Urban Studies,Arts & Humanities,NA,NA
185,N346113408280,F,Singapore,ay1516,ANTHROPOLOGY,71.3,62.7025,Global Affairs,"Philosophy, Politics and Economics",NA,NA
186,N347113405280,M,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",85.41,90.3375,Economics,Global Affairs,NA,NA
187,N348113401280,F,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.28,81.6725,Economics,"Philosophy, Politics and Economics",NA,NA
188,N349113402280,M,Singapore,ay1516,ECONOMICS,89.14,91,Global Affairs,"Philosophy, Politics and Economics",NA,NA
189,N350113418280,F,Singapore,ay1516,DDP LAW,84.79,88.8925,Global Affairs,"Philosophy, Politics and Economics",NA,NA
190,N352113413280,F,Southeast Asia,ay1516,ECONOMICS,87.29,92.6925,Life Sciences,Anthropology,NA,NA
191,N353113412280,M,Singapore,ay1516,URBAN STUDIES,81.58,84.805,Philosophy,Literature,NA,NA
192,N354113410280,F,Singapore,ay1516,HISTORY,82.56,85.9375,Global Affairs,Arts & Humanities,NA,NA
193,N355113408280,M,Singapore,ay1516,PSYCHOLOGY,78.23,76.7075,Life Sciences,Anthropology,NA,NA
194,N356113405280,M,Singapore,ay1516,LITERATURE,92.09,94.5425,Arts & Humanities,NA,800,NA
195,N358113402280,F,Singapore,ay1516,PSYCHOLOGY,78.9,75.4025,Psychology,Life Sciences,NA,NA
196,N359113425280,M,Singapore,ay1516,GLOBAL AFFAIRS,81.55,80.225,"Philosophy, Politics and Economics",History,NA,NA
197,N360113414280,F,Singapore,ay1516,ARTS AND HUMANITIES,82.15,84.97,Arts & Humanities,Urban Studies,NA,NA
198,N361113413280,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,78.05,75.6,History,Global Affairs,NA,NA
199,N362113412280,F,Singapore,ay1516,ANTHROPOLOGY,87.01,92.0625,Literature,Psychology,NA,NA
200,N363113410280,M,Singapore,ay1516,URBAN STUDIES,85.78,89.1075,Arts & Humanities,Economics,NA,NA
201,N365113405280,M,Singapore,ay1516,PHILOSOPHY,84.32,90.46,"Philosophy, Politics and Economics",Global Affairs,NA,NA
202,N366113401280,M,Singapore,ay1516,DDP LAW,85.95,87.9375,Psychology,Anthropology,NA,NA
203,N367113402280,M,Singapore,ay1516,ECONOMICS,88.18,88.495,Economics,"Philosophy, Politics and Economics",NA,NA
204,N368113425280,F,Singapore,ay1516,PSYCHOLOGY,84.97,88.1825,Psychology,NA,NA,NA
205,N369113424280,M,Singapore,ay1516,ARTS AND HUMANITIES,70.42,64.3975,Arts & Humanities,Psychology,NA,NA
206,N370113413280,M,Singapore,ay1516,HISTORY,91.13,92.545,History,Literature,780,NA
207,N371113412280,F,Southeast Asia,ay1516,ECONOMICS,79.4,76.8425,"Mathematical, Computational and Statistical Sciences",NA,780,NA
208,N372113410280,M,Singapore,ay1516,PHILOSOPHY,79.99,78.1925,"Philosophy, Politics and Economics",History,NA,NA
209,N375113401280,M,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.42,88.7125,"Philosophy, Politics and Economics",Global Affairs,NA,NA
210,N376113402280,M,Singapore,ay1516,URBAN STUDIES,82,85.4475,Economics,NA,NA,NA
211,N377113425280,M,Singapore,ay1516,HISTORY,80.21,78.1425,History,Anthropology,NA,NA
212,N378113424280,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,83.18,93.43,Physical Sciences,NA,800,NA
213,N381113410280,F,Singapore,ay1516,LITERATURE,80.27,83.2875,Literature,Arts & Humanities,NA,NA
214,N383113405280,F,Singapore,ay1516,URBAN STUDIES,79.48,77.9925,Global Affairs,NA,NA,NA
215,N384113401280,F,Singapore,ay1516,URBAN STUDIES,81.17,78.89,Urban Studies,Anthropology,NA,NA
216,N385113402280,F,Singapore,ay1516,ANTHROPOLOGY,78.64,78.04,Arts & Humanities,"Philosophy, Politics and Economics",NA,NA
217,N386113425280,M,Singapore,ay1516,ENVIRONMENTAL STUDIES,85.07,84.62,Arts & Humanities,Environmental Studies,NA,NA
218,N387113424280,F,Southeast Asia,ay1516,DDP LAW,83.41,83.23,Arts & Humanities,Economics,NA,NA
219,N305113412283,F,Singapore,ay1516,DDP LAW,76.17,73.37,Global Affairs,"Philosophy, Politics and Economics",NA,NA
220,N306113410283,M,South Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.52,84.2725,Physical Sciences,NA,800,NA
221,N307113408283,M,Southeast Asia,ay1516,LIFE SCIENCES,80.91,79.695,Life Sciences,NA,NA,NA
222,N308113405283,F,Singapore,ay1516,ECONOMICS,85.26,86.1525,Economics,Arts & Humanities,700,NA
