QR2
,PIN,Matriculation.Date,Sex,Academic.Interest.1,Academic.Interest.2,SAT.I.Math,Translated.SAT.I.Math,SAT.R.Math.Verified,ACT.Math.Verified,GCE..A..Levels.H1.MATHEMATICS.Grade,GCE..A..Levels.H1.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.MATHEMATICS.Grade,GCE..A..Levels.H2.PHYSICS.ADD..PHYSICS.Grade,IB.Math.Studies.SL.Score,IB.Mathematics.SL.Score,IB.Mathematics.HL.Score,IB.Computer.Sc..HL.Score,AP.Calculus..AB..Score,AP.Statistics.Score,AP.Physics.1.Score,AP.Computer.Science..A..Score,SATnew
336,N334116421296,2017,M,Global Affairs,Economics,NA,700,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
340,N372117412203,2017,M,Undecided,"Mathematical, Computational and Statistical Sciences",770,780,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
416,N348117405203,2017,F,Life Sciences,Environmental Studies,NA,700,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
418,N311117424204,2017,M,Undecided,Undecided,640,660,700,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,660
657,N377119412209,2018,M,History,"Mathematical, Computational and Statistical Sciences",NA,700,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,762.279411764706
222,N348117425215,2017,F,"Philosophy, Politics and Economics",Anthropology,NA,710,710,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
262,N335117412204,2017,F,Life Sciences,Economics,NA,710,710,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,762.279411764706
375,N323116424296,2017,M,"Philosophy, Politics and Economics",Anthropology,NA,710,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
398,N399117421203,2017,M,"Mathematical, Computational and Statistical Sciences",Literature,NA,710,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
409,N394117401203,2017,F,Life Sciences,Physical Sciences,NA,710,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
448,N317119425208,2018,M,Anthropology,Anthropology,NA,710,710,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
459,N384119414209,2018,F,History,Global Affairs,NA,710,710,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
589,N399119414221,2018,F,"Philosophy, Politics and Economics",Economics,NA,710,710,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,762.279411764706
685,N342119402209,2018,M,Global Affairs,History,NA,710,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
688,N394119414208,2018,M,"Philosophy, Politics and Economics",Economics,NA,710,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
237,N357117405203,2017,F,Life Sciences,Life Sciences,NA,720,720,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
280,N319117408204,2017,M,Global Affairs,Economics,650,670,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670
369,N347117408203,2017,F,Economics,Global Affairs,710,740,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740
428,N343117413204,2017,M,History,Physical Sciences,NA,720,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
436,N380117413203,2017,F,Environmental Studies,Undecided,NA,720,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,762.279411764706
458,N385119418207,2018,F,Psychology,"Philosophy, Politics and Economics",NA,720,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
484,N359119412209,2018,F,"Philosophy, Politics and Economics","Philosophy, Politics and Economics",NA,720,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
493,N305119401209,2018,F,Anthropology,Environmental Studies,NA,720,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
532,N356119421208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,720,720,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
574,N354119423209,2018,F,Global Affairs,"Philosophy, Politics and Economics",NA,720,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
575,N329119418209,2018,F,Psychology,Literature,NA,720,720,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
651,N362119425208,2018,F,"Philosophy, Politics and Economics",Economics,NA,720,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
655,N340119408208,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,720,720,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,762.279411764706
591,N319119421209,2018,F,Global Affairs,"Philosophy, Politics and Economics",NA,730,730,36,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,762.279411764706
270,N342117418203,2017,M,Physical Sciences,Economics,NA,730,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
334,N395117402203,2017,F,Arts & Humanities,Psychology,NA,730,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
360,N316117413204,2017,F,Undecided,Anthropology,NA,730,730,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,762.279411764706
368,N353117413203,2017,M,Economics,"Philosophy, Politics and Economics",NA,730,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
414,N333116423296,2017,F,Anthropology,NA,NA,730,730,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
420,N369117425203,2017,F,Global Affairs,Psychology,NA,730,730,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,762.279411764706
424,N310116405296,2017,M,Economics,"Mathematical, Computational and Statistical Sciences",NA,730,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
514,N373119424207,2018,F,Life Sciences,Physical Sciences,NA,730,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
528,N362119424209,2018,F,Arts & Humanities,Psychology,NA,730,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
616,N380119402216,2018,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,730,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
687,N329119421208,2018,F,Psychology,Global Affairs,NA,730,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
248,N334117413204,2017,F,Psychology,"Philosophy, Politics and Economics",NA,740,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
272,N315117414204,2017,M,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",NA,740,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
295,N306117414204,2017,M,Global Affairs,Arts & Humanities,NA,740,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
302,N393117405203,2017,F,Anthropology,Arts & Humanities,NA,740,740,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,762.279411764706
439,N307117413204,2017,F,"Mathematical, Computational and Statistical Sciences",Undecided,NA,740,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
496,N320119410209,2018,F,Global Affairs,"Philosophy, Politics and Economics",NA,740,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
517,N301119412209,2018,F,Economics,Life Sciences,NA,740,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
518,N316116421296,2018,F,"Philosophy, Politics and Economics",Undecided,NA,740,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
521,N378119410209,2018,F,Life Sciences,Literature,NA,740,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
543,N398119408208,2018,M,"Mathematical, Computational and Statistical Sciences","Mathematical, Computational and Statistical Sciences",NA,740,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
557,N368119412209,2018,F,Life Sciences,Undecided,NA,740,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
581,N320119412208,2018,M,Undecided,"Philosophy, Politics and Economics",NA,740,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
601,N367119413209,2018,M,"Philosophy, Politics and Economics",Philosophy,NA,740,740,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,762.279411764706
613,N370119402208,2018,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,740,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
213,N322117421204,2017,F,"Mathematical, Computational and Statistical Sciences",Economics,NA,750,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
305,N333116413206,2017,M,Economics,Environmental Studies,NA,750,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
335,N332117412243,2017,M,Environmental Studies,Physical Sciences,690,720,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720
419,N341117421203,2017,M,Economics,Life Sciences,NA,750,750,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,762.279411764706
515,N346119423208,2018,F,Life Sciences,Environmental Studies,NA,750,750,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
530,N372119424208,2018,M,Economics,"Mathematical, Computational and Statistical Sciences",NA,750,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,762.279411764706
595,N369119410209,2018,F,Arts & Humanities,"Philosophy, Politics and Economics",NA,750,750,NA,NA,NA,B,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
645,N360119401208,2018,M,Life Sciences,"Mathematical, Computational and Statistical Sciences",NA,760,760,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,762.279411764706
247,N329116413295,2017,F,Life Sciences,Life Sciences,800,800,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
425,N387117425203,2017,M,"Philosophy, Politics and Economics","Philosophy, Politics and Economics",NA,760,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
488,N307119425209,2018,M,Undecided,Undecided,NA,760,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
531,N361119402208,2018,M,History,"Philosophy, Politics and Economics",NA,760,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
580,N332119405208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,760,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
629,N322119401219,2018,F,Undecided,Physical Sciences,NA,760,760,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,762.279411764706
348,N370117414203,2017,F,Psychology,"Philosophy, Politics and Economics",NA,770,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
358,N354117412203,2017,F,"Philosophy, Politics and Economics",Economics,NA,770,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
389,N377117402203,2017,M,"Philosophy, Politics and Economics",Economics,NA,770,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
407,N304117414215,2017,M,Economics,"Philosophy, Politics and Economics",NA,770,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
447,N386119413208,2018,M,"Mathematical, Computational and Statistical Sciences","Mathematical, Computational and Statistical Sciences",NA,770,770,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,762.279411764706
465,N322119405209,2018,M,Economics,"Philosophy, Politics and Economics",NA,770,770,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,762.279411764706
516,N399119405208,2018,M,"Mathematical, Computational and Statistical Sciences",Undecided,NA,770,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
522,N302119410209,2018,M,"Mathematical, Computational and Statistical Sciences",Economics,NA,770,770,NA,NA,NA,A,C,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
555,N304119408208,2018,F,Undecided,Psychology,NA,770,770,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
212,N349117424215,2017,F,Global Affairs,Economics,670,780,780,35,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,700
279,N321116402296,2017,M,Physical Sciences,Physical Sciences,NA,780,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
357,N313117421204,2017,F,Psychology,Urban Studies,NA,780,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
366,N381117412203,2017,M,Economics,Global Affairs,NA,780,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
431,N328117408204,2017,F,Anthropology,Anthropology,NA,780,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
468,N335119424209,2018,F,Environmental Studies,Economics,NA,780,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,762.279411764706
482,N377119414207,2018,M,Global Affairs,Life Sciences,NA,780,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
508,N312119410208,2018,M,Life Sciences,Global Affairs,NA,780,780,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
549,N344119425208,2018,M,"Mathematical, Computational and Statistical Sciences","Mathematical, Computational and Statistical Sciences",NA,780,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,762.279411764706
561,N386119414207,2018,F,"Mathematical, Computational and Statistical Sciences",Life Sciences,NA,780,780,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,762.279411764706
584,N375119414209,2018,M,Environmental Studies,Life Sciences,NA,780,780,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,762.279411764706
610,N376119413209,2018,F,Undecided,Psychology,NA,780,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,762.279411764706
614,N360119402209,2018,M,Undecided,Economics,NA,780,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
619,N331119408208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,780,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
652,N333119402209,2018,F,Psychology,History,NA,780,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
684,N336119424208,2018,F,"Philosophy, Politics and Economics",Anthropology,NA,780,780,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
519,N396119413207,2018,F,Physical Sciences,Arts & Humanities,NA,790,790,35,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,762.279411764706
296,N390117412203,2017,F,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,790,790,36,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,762.279411764706
211,N318117410204,2017,F,Life Sciences,Psychology,NA,790,790,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,762.279411764706
415,N344117412204,2017,F,Urban Studies,"Philosophy, Politics and Economics",800,800,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
430,N302116401296,2017,M,Global Affairs,Arts & Humanities,NA,790,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
441,N384117405203,2017,F,"Philosophy, Politics and Economics",Life Sciences,800,800,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
473,N325119424219,2018,F,Global Affairs,Psychology,NA,790,790,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
479,N380119402207,2018,F,Anthropology,Literature,NA,790,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,762.279411764706
480,N318119421219,2018,M,Global Affairs,"Philosophy, Politics and Economics",NA,790,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,762.279411764706
539,N319119405212,2018,M,Environmental Studies,"Philosophy, Politics and Economics",NA,790,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
541,N371119425208,2018,M,Economics,"Philosophy, Politics and Economics",NA,790,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
594,N364119423208,2018,F,Arts & Humanities,"Philosophy, Politics and Economics",NA,790,790,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
628,N317119423219,2018,F,Life Sciences,Arts & Humanities,NA,790,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
632,N321119410208,2018,F,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,790,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
672,N342119401208,2018,M,"Mathematical, Computational and Statistical Sciences",Economics,NA,790,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,762.279411764706
680,N313119405209,2018,F,Psychology,Philosophy,NA,790,790,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,762.279411764706
681,N382119424207,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,790,790,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,762.279411764706
243,N327117410204,2017,F,"Mathematical, Computational and Statistical Sciences",Economics,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
312,N371117413203,2017,F,Psychology,Arts & Humanities,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
339,N379117424203,2017,F,"Philosophy, Politics and Economics",NA,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
349,N312117423204,2017,M,Physical Sciences,"Mathematical, Computational and Statistical Sciences",NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
367,N318116414296,2017,F,Physical Sciences,"Mathematical, Computational and Statistical Sciences",NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
370,N351117418203,2017,F,Environmental Studies,Urban Studies,770,780,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,780
405,N364117410203,2017,M,"Mathematical, Computational and Statistical Sciences",Economics,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
413,N330116402296,2017,F,"Mathematical, Computational and Statistical Sciences",Undecided,780,790,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
421,N320116401296,2017,M,Economics,Economics,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,762.279411764706
442,N372116401280,2017,M,Anthropology,Physical Sciences,NA,800,800,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
475,N325119412212,2018,M,Literature,Anthropology,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
490,N366119418208,2018,M,Life Sciences,Life Sciences,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
498,N309119424208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
509,N348119414209,2018,F,Anthropology,Global Affairs,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
552,N352119402208,2018,F,Economics,Arts & Humanities,NA,800,800,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,762.279411764706
559,N379119410208,2018,F,"Mathematical, Computational and Statistical Sciences","Mathematical, Computational and Statistical Sciences",NA,800,800,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
562,N378119412208,2018,M,Economics,Global Affairs,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,762.279411764706
577,N330116410247,2018,F,Physical Sciences,Physical Sciences,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
603,N325119425209,2018,F,Life Sciences,"Philosophy, Politics and Economics",NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
604,N321119408209,2018,M,Environmental Studies,Economics,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,762.279411764706
609,N326119425208,2018,M,Economics,Life Sciences,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,762.279411764706
639,N352119425209,2018,F,Life Sciences,Arts & Humanities,780,790,800,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
