X1,PIN,Sex,Region,Year,Major,Grade,HSG,IndGrd2,AC1,AC2,SAT
125,N379113405221,F,South Asia,ay1415,LITERATURE,70.495,3,56.7375,Global Affairs,Literature,580
126,N380113423221,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.12,3,71.35,Environmental Studies,Undeclared,760
127,N381113421221,F,Other,ay1415,ECONOMICS,74.839,4,71.175,Undecided,Undeclared,780
129,N385113412221,F,Europe,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.50399999999999,4,87.2875,Physical Sciences,Undeclared,780
130,N386113410221,F,North America,ay1415,ENVIRONMENTAL STUDIES,76.512,1,72.25,Economics,Arts & Humanities,650
131,N388113405221,F,North America,ay1415,PHILOSOPHY,76.87,4,80.2625,Anthropology,Global Affairs,800
132,N389113401221,F,Europe,ay1415,LITERATURE,72.40899999999999,4,72.6375,Global Affairs,Undeclared,630
133,N390113421221,F,South Asia,ay1415,ECONOMICS,73.211,3,65.825,Economics,Undeclared,770
134,N308113412226,F,Singapore,ay1415,GLOBAL AFFAIRS,72.539,3,69.7125,Global Affairs,Arts & Humanities,780
135,N309113410226,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",86.18700000000001,4,85.2125,Global Affairs,History,780
136,N310113425226,F,Singapore,ay1415,PHYSICAL SCIENCES,77.824,4,74.4,Global Affairs,Undeclared,780
137,N311113424226,M,Singapore,ay1415,ARTS AND HUMANITIES,75.893,4,73.35,Psychology,"Philosophy, Politics and Economics",780
138,N312113423226,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,88.68,4,96.625,Anthropology,Undeclared,800
139,N313113421226,F,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.98899999999999,4,92.3,Global Affairs,Undeclared,790
140,N316113413226,F,Singapore,ay1415,ARTS AND HUMANITIES,75.112,4,65.85,Arts & Humanities,Psychology,720
141,N317113412226,F,Singapore,ay1415,URBAN STUDIES,80.374,4,83.75,Economics,"Philosophy, Politics and Economics",730
142,N318113410226,F,Singapore,ay1415,ECONOMICS,79.678,1,72.975,Economics,Global Affairs,780
143,N319113408226,F,Singapore,ay1415,URBAN STUDIES,71.442,4,68.3125,Global Affairs,Undeclared,630
144,N320113424226,F,Europe,ay1415,LITERATURE,73.972,2,69.75,Literature,Undeclared,800
145,N321113423226,F,Singapore,ay1415,ANTHROPOLOGY,75.277,4,75.075,Anthropology,Arts & Humanities,670
147,N324113414226,M,South Asia,ay1415,ENVIRONMENTAL STUDIES,79.562,4,86.025,Life Sciences,Undeclared,720
148,N325113413226,F,Singapore,ay1415,HISTORY,82.851,4,88.875,"Philosophy, Politics and Economics",Undeclared,800
149,N326113412226,F,Southeast Asia,ay1415,ARTS AND HUMANITIES,68.56,2,51.05,Psychology,Philosophy,640
150,N327113410226,M,Singapore,ay1415,LITERATURE,76.251,4,71.45,Literature,Arts & Humanities,720
151,N328113408226,F,Singapore,ay1415,DDP LAW,80.76899999999999,4,85.475,Urban Studies,"Philosophy, Politics and Economics",710
152,N329113405226,F,Singapore,ay1415,HISTORY,78.179,4,78.975,History,Literature,660
153,N331113421226,F,Singapore,ay1415,LIFE SCIENCES,76.357,4,69.1125,Life Sciences,Physical Sciences,720
154,N332113418226,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.212,4,88.05,Physical Sciences,Undeclared,800
155,N333113414226,F,Singapore,ay1415,HISTORY,76.126,1,65.6,Literature,Arts & Humanities,680
156,N398113418236,F,Singapore,ay1415,ANTHROPOLOGY,77.351,2,41.9125,"Philosophy, Politics and Economics",Global Affairs,640
157,N325113408238,F,Singapore,ay1415,ANTHROPOLOGY,72.719,4,73.525,Psychology,Economics,710
158,N332113424241,M,Singapore,ay1415,ANTHROPOLOGY,72.914,2,62.275,Arts & Humanities,"Philosophy, Politics and Economics",670
159,N331109413242,M,Singapore,ay1516,HISTORY,83.16,4,82.465,History,"Philosophy, Politics and Economics",740
160,N339112413213,F,Singapore,ay1516,ANTHROPOLOGY,88.9,4,93.505,Life Sciences,Undecided,780
161,N378112402216,M,Southeast Asia,ay1516,PHYSICAL SCIENCES,83.42,4,81.8175,Physical Sciences,Undeclared,770
162,N311112425217,F,Singapore,ay1516,ANTHROPOLOGY,83.63,4,87.8425,Literature,Psychology,760
163,N312112410220,F,East Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.99,4,91.865,Life Sciences,Psychology,800
164,N323113418280,F,Singapore,ay1516,ARTS AND HUMANITIES,80.73,4,80.97,Arts & Humanities,Literature,760
165,N324113414280,F,Singapore,ay1516,DDP LAW,85.71,4,90.1675,Global Affairs,Philosophy,780
166,N325113413280,F,Singapore,ay1516,HISTORY,84.1,4,84.3975,History,Arts & Humanities,730
167,N326113412280,M,Singapore,ay1516,HISTORY,81.64,3,76.105,"Philosophy, Politics and Economics",Undeclared,710
168,N327113410280,F,Singapore,ay1516,ANTHROPOLOGY,82.55,4,87.5925,Life Sciences,"Philosophy, Politics and Economics",760
169,N328113408280,M,Singapore,ay1516,ARTS AND HUMANITIES,80.54,3,78.545,Philosophy,Psychology,780
170,N329113405280,F,Singapore,ay1516,HISTORY,76.58,3,75.8025,History,Arts & Humanities,790
171,N330113423280,M,East Asia,ay1516,ECONOMICS,81.85,4,85.9425,Urban Studies,Urban Studies,800
172,N331113421280,F,Southeast Asia,ay1516,URBAN STUDIES,85.46,4,88.7975,Global Affairs,Undecided,740
173,N332113418280,M,Singapore,ay1516,HISTORY,82.49,3,79.8575,Global Affairs,"Philosophy, Politics and Economics",660
174,N334113413280,M,Singapore,ay1516,URBAN STUDIES,85.03,4,90.0125,Economics,Literature,790
175,N335113412280,M,Singapore,ay1516,LITERATURE,77.69,4,79.0025,Philosophy,Undeclared,690
176,N336113410280,M,Singapore,ay1516,DDP LAW,80.38,4,79.2775,"Philosophy, Politics and Economics",Economics,710
177,N337113408280,M,Singapore,ay1516,PSYCHOLOGY,83.54,4,84.5325,Psychology,Environmental Studies,690
178,N340113421280,F,Singapore,ay1516,PSYCHOLOGY,80.76,4,81.245,Psychology,"Philosophy, Politics and Economics",780
179,N341113418280,F,Singapore,ay1516,LIFE SCIENCES,81.99,4,86.455,Life Sciences,Undecided,800
180,N342113414280,F,Singapore,ay1516,ANTHROPOLOGY,74.45,4,67.2575,Anthropology,Undeclared,650
181,N343113413280,M,Singapore,ay1516,LIFE SCIENCES,87.88,4,87.1675,Psychology,Undeclared,800
182,N344113412280,F,Singapore,ay1516,HISTORY,77.74,4,71.3575,"Philosophy, Politics and Economics",Arts & Humanities,760
183,N345113410280,F,Singapore,ay1516,PSYCHOLOGY,92.15,4,94.0525,Urban Studies,Arts & Humanities,800
184,N346113408280,F,Singapore,ay1516,ANTHROPOLOGY,71.3,4,62.7025,Global Affairs,"Philosophy, Politics and Economics",770
185,N347113405280,M,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",85.41,4,90.3375,Economics,Global Affairs,780
186,N348113401280,F,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.28,4,81.6725,Economics,"Philosophy, Politics and Economics",780
187,N349113402280,M,Singapore,ay1516,ECONOMICS,89.14,4,91,Global Affairs,"Philosophy, Politics and Economics",780
188,N350113418280,F,Singapore,ay1516,DDP LAW,84.79,4,88.8925,Global Affairs,"Philosophy, Politics and Economics",780
189,N352113413280,F,Southeast Asia,ay1516,ECONOMICS,87.29,4,92.6925,Life Sciences,Anthropology,790
190,N353113412280,M,Singapore,ay1516,URBAN STUDIES,81.58,4,84.805,Philosophy,Literature,780
191,N354113410280,F,Singapore,ay1516,HISTORY,82.56,3,85.9375,Global Affairs,Arts & Humanities,760
192,N355113408280,M,Singapore,ay1516,PSYCHOLOGY,78.23,3,76.7075,Life Sciences,Anthropology,780
193,N356113405280,M,Singapore,ay1516,LITERATURE,92.09,4,94.5425,Arts & Humanities,Undeclared,800
194,N358113402280,F,Singapore,ay1516,PSYCHOLOGY,78.9,4,75.4025,Psychology,Life Sciences,730
195,N359113425280,M,Singapore,ay1516,GLOBAL AFFAIRS,81.55,4,80.225,"Philosophy, Politics and Economics",History,710
196,N360113414280,F,Singapore,ay1516,ARTS AND HUMANITIES,82.15,4,84.97,Arts & Humanities,Urban Studies,800
197,N361113413280,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,78.05,3,75.6,History,Global Affairs,670
198,N362113412280,F,Singapore,ay1516,ANTHROPOLOGY,87.01,4,92.0625,Literature,Psychology,800
199,N363113410280,M,Singapore,ay1516,URBAN STUDIES,85.78,3,89.1075,Arts & Humanities,Economics,780
200,N365113405280,M,Singapore,ay1516,PHILOSOPHY,84.32,4,90.46,"Philosophy, Politics and Economics",Global Affairs,780
201,N366113401280,M,Singapore,ay1516,DDP LAW,85.95,4,87.9375,Psychology,Anthropology,700
202,N367113402280,M,Singapore,ay1516,ECONOMICS,88.18,4,88.495,Economics,"Philosophy, Politics and Economics",750
203,N368113425280,F,Singapore,ay1516,PSYCHOLOGY,84.97,4,88.1825,Psychology,Undeclared,760
204,N369113424280,M,Singapore,ay1516,ARTS AND HUMANITIES,70.42,4,64.3975,Arts & Humanities,Psychology,710
205,N370113413280,M,Singapore,ay1516,HISTORY,91.13,4,92.545,History,Literature,780
206,N371113412280,F,Southeast Asia,ay1516,ECONOMICS,79.4,4,76.8425,"Mathematical, Computational and Statistical Sciences",Undeclared,780
207,N372113410280,M,Singapore,ay1516,PHILOSOPHY,79.99,3,78.1925,"Philosophy, Politics and Economics",History,780
208,N375113401280,M,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.42,4,88.7125,"Philosophy, Politics and Economics",Global Affairs,760
209,N376113402280,M,Singapore,ay1516,URBAN STUDIES,82,4,85.4475,Economics,Undeclared,740
210,N377113425280,M,Singapore,ay1516,HISTORY,80.21,3,78.1425,History,Anthropology,730
211,N378113424280,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,83.18,4,93.43,Physical Sciences,Undeclared,800
212,N381113410280,F,Singapore,ay1516,LITERATURE,80.27,4,83.2875,Literature,Arts & Humanities,790
213,N383113405280,F,Singapore,ay1516,URBAN STUDIES,79.48,4,77.9925,Global Affairs,Undeclared,760
214,N384113401280,F,Singapore,ay1516,URBAN STUDIES,81.17,4,78.89,Urban Studies,Anthropology,630
215,N385113402280,F,Singapore,ay1516,ANTHROPOLOGY,78.64,4,78.04,Arts & Humanities,"Philosophy, Politics and Economics",780
216,N386113425280,M,Singapore,ay1516,ENVIRONMENTAL STUDIES,85.07,4,84.62,Arts & Humanities,Environmental Studies,730
217,N387113424280,F,Southeast Asia,ay1516,DDP LAW,83.41,4,83.23,Arts & Humanities,Economics,770
218,N305113412283,F,Singapore,ay1516,DDP LAW,76.17,4,73.37,Global Affairs,"Philosophy, Politics and Economics",760
219,N306113410283,M,South Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.52,4,84.2725,Physical Sciences,Undeclared,800
220,N307113408283,M,Southeast Asia,ay1516,LIFE SCIENCES,80.91,4,79.695,Life Sciences,Undeclared,800
221,N308113405283,F,Singapore,ay1516,ECONOMICS,85.26,4,86.1525,Economics,Arts & Humanities,700
222,N309113401283,M,Europe,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",84.37,4,84.67,"Philosophy, Politics and Economics",Undeclared,760
223,N310113421283,F,Singapore,ay1516,ANTHROPOLOGY,80.01,4,77.0875,Global Affairs,"Philosophy, Politics and Economics",760
224,N311113418283,F,East Asia,ay1516,GLOBAL AFFAIRS,83.25,4,76.66,"Philosophy, Politics and Economics",Undeclared,800
225,N313113413283,M,North America,ay1516,ARTS AND HUMANITIES,81.25,3,82.765,Literature,Undeclared,780
226,N314113412283,F,South Asia,ay1516,ECONOMICS,90.1,4,91.845,"Mathematical, Computational and Statistical Sciences",Undeclared,800
227,N315113410283,F,South Asia,ay1516,ENVIRONMENTAL STUDIES,77.41,4,78.645,"Philosophy, Politics and Economics",Undeclared,780
228,N365113414288,M,Singapore,ay1516,HISTORY,83.75,4,81.325,Literature,Arts & Humanities,800
229,N366113413288,M,Singapore,ay1516,ARTS AND HUMANITIES,78.5,4,75.6175,Arts & Humanities,Psychology,680
230,N367113412288,F,Europe,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.92,4,90.0125,Global Affairs,Psychology,740
