"","PIN","Sex.x","Region","Year","Major","Grade","HSG","IndGrd2","Academic.Interest.1","Academic.Interest.2","SAT"
"136","N309113410226","F","Singapore","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",86.187,NA,85.2125,"Global Affairs","History",780
"137","N310113425226","F","Singapore","ay1415","PHYSICAL SCIENCES",77.824,NA,74.4,"Global Affairs",NA,NA
"138","N311113424226","M","Singapore","ay1415","ARTS AND HUMANITIES",75.893,NA,73.35,"Psychology","Philosophy, Politics and Economics",780
"139","N312113423226","M","Singapore","ay1415","ENVIRONMENTAL STUDIES",88.68,NA,96.625,"Anthropology",NA,NA
"140","N313113421226","F","Singapore","ay1415","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.989,NA,92.3,"Global Affairs",NA,NA
"141","N316113413226","F","Singapore","ay1415","ARTS AND HUMANITIES",75.112,NA,65.85,"Arts & Humanities","Psychology",NA
"142","N317113412226","F","Singapore","ay1415","URBAN STUDIES",80.374,NA,83.75,"Economics","Philosophy, Politics and Economics",NA
"143","N318113410226","F","Singapore","ay1415","ECONOMICS",79.678,NA,72.975,"Economics","Global Affairs",NA
"144","N319113408226","F","Singapore","ay1415","URBAN STUDIES",71.442,NA,68.3125,"Global Affairs",NA,630
"145","N320113424226","F","Europe","ay1415","LITERATURE",73.972,NA,69.75,"Literature",NA,NA
"146","N321113423226","F","Singapore","ay1415","ANTHROPOLOGY",75.277,NA,75.075,"Anthropology","Arts & Humanities",670
"147","N323113418226","F","Singapore","ay1415","URBAN STUDIES",84.666,NA,NA,"Economics","Philosophy, Politics and Economics",790
"148","N324113414226","M","South Asia","ay1415","ENVIRONMENTAL STUDIES",79.562,NA,86.025,"Life Sciences",NA,720
"149","N325113413226","F","Singapore","ay1415","HISTORY",82.851,NA,88.875,"Philosophy, Politics and Economics",NA,NA
"150","N326113412226","F","Southeast Asia","ay1415","ARTS AND HUMANITIES",68.56,NA,51.05,"Psychology","Philosophy",NA
"151","N327113410226","M","Singapore","ay1415","LITERATURE",76.251,NA,71.45,"Literature","Arts & Humanities",NA
"152","N328113408226","F","Singapore","ay1415","DDP LAW",80.769,NA,85.475,"Urban Studies","Philosophy, Politics and Economics",NA
"153","N329113405226","F","Singapore","ay1415","HISTORY",78.179,NA,78.975,"History","Literature",NA
"154","N331113421226","F","Singapore","ay1415","LIFE SCIENCES",76.357,NA,69.1125,"Life Sciences","Physical Sciences",NA
"155","N332113418226","M","South Asia","ay1415","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.212,NA,88.05,"Physical Sciences",NA,800
"156","N333113414226","F","Singapore","ay1415","HISTORY",76.126,NA,65.6,"Literature","Arts & Humanities",NA
"157","N398113418236","F","Singapore","ay1415","ANTHROPOLOGY",77.351,NA,41.9125,"Philosophy, Politics and Economics","Global Affairs",NA
"158","N325113408238","F","Singapore","ay1415","ANTHROPOLOGY",72.719,NA,73.525,"Psychology","Economics",NA
"159","N332113424241","M","Singapore","ay1415","ANTHROPOLOGY",72.914,NA,62.275,"Arts & Humanities","Philosophy, Politics and Economics",NA
"160","N331109413242","M","Singapore","ay1516","HISTORY",83.16,NA,82.465,"History","Philosophy, Politics and Economics",NA
"161","N339112413213","F","Singapore","ay1516","ANTHROPOLOGY",88.9,NA,93.505,"Life Sciences","Undecided",NA
"162","N378112402216","M","Southeast Asia","ay1516","PHYSICAL SCIENCES",83.42,NA,81.8175,"Physical Sciences",NA,NA
"163","N311112425217","F","Singapore","ay1516","ANTHROPOLOGY",83.63,NA,87.8425,"Literature","Psychology",NA
"164","N312112410220","F","East Asia","ay1516","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.99,"A",91.865,"Life Sciences","Psychology",800
"165","N323113418280","F","Singapore","ay1516","ARTS AND HUMANITIES",80.73,NA,80.97,"Arts & Humanities","Literature",NA
"166","N324113414280","F","Singapore","ay1516","DDP LAW",85.71,NA,90.1675,"Global Affairs","Philosophy",NA
"167","N325113413280","F","Singapore","ay1516","HISTORY",84.1,NA,84.3975,"History","Arts & Humanities",NA
"168","N326113412280","M","Singapore","ay1516","HISTORY",81.64,NA,76.105,"Philosophy, Politics and Economics",NA,710
"169","N327113410280","F","Singapore","ay1516","ANTHROPOLOGY",82.55,NA,87.5925,"Life Sciences","Philosophy, Politics and Economics",NA
"170","N328113408280","M","Singapore","ay1516","ARTS AND HUMANITIES",80.54,NA,78.545,"Philosophy","Psychology",NA
"171","N329113405280","F","Singapore","ay1516","HISTORY",76.58,NA,75.8025,"History","Arts & Humanities",NA
"172","N330113423280","M","East Asia","ay1516","ECONOMICS",81.85,NA,85.9425,"Urban Studies","Urban Studies",800
"173","N331113421280","F","Southeast Asia","ay1516","URBAN STUDIES",85.46,NA,88.7975,"Global Affairs","Undecided",NA
"174","N332113418280","M","Singapore","ay1516","HISTORY",82.49,NA,79.8575,"Global Affairs","Philosophy, Politics and Economics",NA
"175","N334113413280","M","Singapore","ay1516","URBAN STUDIES",85.03,NA,90.0125,"Economics","Literature",NA
"176","N335113412280","M","Singapore","ay1516","LITERATURE",77.69,NA,79.0025,"Philosophy",NA,NA
"177","N336113410280","M","Singapore","ay1516","DDP LAW",80.38,NA,79.2775,"Philosophy, Politics and Economics","Economics",NA
"178","N337113408280","M","Singapore","ay1516","PSYCHOLOGY",83.54,NA,84.5325,"Psychology","Environmental Studies",NA
"179","N340113421280","F","Singapore","ay1516","PSYCHOLOGY",80.76,NA,81.245,"Psychology","Philosophy, Politics and Economics",NA
"180","N341113418280","F","Singapore","ay1516","LIFE SCIENCES",81.99,NA,86.455,"Life Sciences","Undecided",NA
"181","N342113414280","F","Singapore","ay1516","ANTHROPOLOGY",74.45,NA,67.2575,"Anthropology",NA,NA
"182","N343113413280","M","Singapore","ay1516","LIFE SCIENCES",87.88,NA,87.1675,"Psychology",NA,NA
"183","N344113412280","F","Singapore","ay1516","HISTORY",77.74,NA,71.3575,"Philosophy, Politics and Economics","Arts & Humanities",NA
"184","N345113410280","F","Singapore","ay1516","PSYCHOLOGY",92.15,NA,94.0525,"Urban Studies","Arts & Humanities",NA
"185","N346113408280","F","Singapore","ay1516","ANTHROPOLOGY",71.3,NA,62.7025,"Global Affairs","Philosophy, Politics and Economics",NA
"186","N347113405280","M","Singapore","ay1516","PHILOSOPHY, POLITICS AND ECONOMICS",85.41,NA,90.3375,"Economics","Global Affairs",NA
"187","N348113401280","F","Singapore","ay1516","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.28,NA,81.6725,"Economics","Philosophy, Politics and Economics",NA
"188","N349113402280","M","Singapore","ay1516","ECONOMICS",89.14,NA,91,"Global Affairs","Philosophy, Politics and Economics",NA
"189","N350113418280","F","Singapore","ay1516","DDP LAW",84.79,NA,88.8925,"Global Affairs","Philosophy, Politics and Economics",NA
"190","N352113413280","F","Southeast Asia","ay1516","ECONOMICS",87.29,NA,92.6925,"Life Sciences","Anthropology",NA
"191","N353113412280","M","Singapore","ay1516","URBAN STUDIES",81.58,NA,84.805,"Philosophy","Literature",NA
"192","N354113410280","F","Singapore","ay1516","HISTORY",82.56,NA,85.9375,"Global Affairs","Arts & Humanities",NA
"193","N355113408280","M","Singapore","ay1516","PSYCHOLOGY",78.23,NA,76.7075,"Life Sciences","Anthropology",NA
"194","N356113405280","M","Singapore","ay1516","LITERATURE",92.09,NA,94.5425,"Arts & Humanities",NA,800
"195","N358113402280","F","Singapore","ay1516","PSYCHOLOGY",78.9,NA,75.4025,"Psychology","Life Sciences",NA
"196","N359113425280","M","Singapore","ay1516","GLOBAL AFFAIRS",81.55,NA,80.225,"Philosophy, Politics and Economics","History",NA
"197","N360113414280","F","Singapore","ay1516","ARTS AND HUMANITIES",82.15,NA,84.97,"Arts & Humanities","Urban Studies",NA
"198","N361113413280","F","Singapore","ay1516","ENVIRONMENTAL STUDIES",78.05,NA,75.6,"History","Global Affairs",NA
"199","N362113412280","F","Singapore","ay1516","ANTHROPOLOGY",87.01,NA,92.0625,"Literature","Psychology",NA
"200","N363113410280","M","Singapore","ay1516","URBAN STUDIES",85.78,NA,89.1075,"Arts & Humanities","Economics",NA
"201","N365113405280","M","Singapore","ay1516","PHILOSOPHY",84.32,NA,90.46,"Philosophy, Politics and Economics","Global Affairs",NA
"202","N366113401280","M","Singapore","ay1516","DDP LAW",85.95,NA,87.9375,"Psychology","Anthropology",NA
"203","N367113402280","M","Singapore","ay1516","ECONOMICS",88.18,NA,88.495,"Economics","Philosophy, Politics and Economics",NA
"204","N368113425280","F","Singapore","ay1516","PSYCHOLOGY",84.97,NA,88.1825,"Psychology",NA,NA
"205","N369113424280","M","Singapore","ay1516","ARTS AND HUMANITIES",70.42,NA,64.3975,"Arts & Humanities","Psychology",NA
"206","N370113413280","M","Singapore","ay1516","HISTORY",91.13,NA,92.545,"History","Literature",780
"207","N371113412280","F","Southeast Asia","ay1516","ECONOMICS",79.4,NA,76.8425,"Mathematical, Computational and Statistical Sciences",NA,780
"208","N372113410280","M","Singapore","ay1516","PHILOSOPHY",79.99,NA,78.1925,"Philosophy, Politics and Economics","History",NA
"209","N375113401280","M","Singapore","ay1516","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.42,NA,88.7125,"Philosophy, Politics and Economics","Global Affairs",NA
"210","N376113402280","M","Singapore","ay1516","URBAN STUDIES",82,NA,85.4475,"Economics",NA,NA
"211","N377113425280","M","Singapore","ay1516","HISTORY",80.21,NA,78.1425,"History","Anthropology",NA
"212","N378113424280","F","Singapore","ay1516","ENVIRONMENTAL STUDIES",83.18,NA,93.43,"Physical Sciences",NA,800
"213","N381113410280","F","Singapore","ay1516","LITERATURE",80.27,NA,83.2875,"Literature","Arts & Humanities",NA
"214","N383113405280","F","Singapore","ay1516","URBAN STUDIES",79.48,NA,77.9925,"Global Affairs",NA,NA
"215","N384113401280","F","Singapore","ay1516","URBAN STUDIES",81.17,NA,78.89,"Urban Studies","Anthropology",NA
"216","N385113402280","F","Singapore","ay1516","ANTHROPOLOGY",78.64,NA,78.04,"Arts & Humanities","Philosophy, Politics and Economics",NA
"217","N386113425280","M","Singapore","ay1516","ENVIRONMENTAL STUDIES",85.07,NA,84.62,"Arts & Humanities","Environmental Studies",NA
