,PIN,Sex,Region,Year,Major,Grade,IndGrd2,AC1,AC2,SATimp,HSG_imp
48,N392112421278,F,Singapore,ay1415,PSYCHOLOGY,74.6,0.0,Psychology,Arts & Humanities,749.0,1.0
49,N393112418278,F,Singapore,ay1415,ECONOMICS,76.423,0.0,"Philosophy, Politics and Economics",Global Affairs,723.0,2.0
50,N394112414278,M,Other,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",76.356,0.0,Economics,Undeclared,670.0,1.0
51,N396112412278,F,North America,ay1415,URBAN STUDIES,71.76,0.0,Global Affairs,Environmental Studies,760.0,2.0
52,N397112410278,F,North America,ay1415,ANTHROPOLOGY,85.115,1.0,Undecided,Undecided,765.0,1.0
53,N398112408278,F,Singapore,ay1415,ANTHROPOLOGY,74.718,0.0,Global Affairs,Literature,740.0,1.0
54,N399112405278,F,Singapore,ay1415,URBAN STUDIES,74.236,0.0,Anthropology,Environmental Studies,733.0,2.0
55,N300112413279,M,Singapore,ay1415,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",86.901,1.0,"Philosophy, Politics and Economics",Undeclared,779.0,1.0
56,N301112412279,M,Europe,ay1415,ECONOMICS,85.15,1.0,"Mathematical, Computational and Statistical Sciences",Undeclared,740.0,1.0
57,N303112408279,M,Singapore,ay1415,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",87.579,1.0,Global Affairs,"Philosophy, Politics and Economics",787.0,1.0
58,N304112405279,M,Singapore,ay1415,ARTS AND HUMANITIES,80.468,0.0,Arts & Humanities,Literature,739.0,2.0
59,N305112401279,F,Singapore,ay1415,URBAN STUDIES,79.563,1.0,Urban Studies,Anthropology,761.0,1.0
60,N306112402279,M,Singapore,ay1415,PSYCHOLOGY,84.309,1.0,Anthropology,History,750.0,1.0
61,N307112425279,F,Singapore,ay1415,DDP LAW,83.634,1.0,Arts & Humanities,Global Affairs,760.0,1.0
62,N308112424279,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",89.147,1.0,"Philosophy, Politics and Economics",Economics,799.0,1.0
63,N309112423279,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",71.42,0.0,Undecided,Undecided,716.0,2.0
64,N310112412279,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.662,1.0,Life Sciences,Arts & Humanities,768.0,1.0
65,N311112410279,F,Singapore,ay1415,PSYCHOLOGY,81.689,0.0,Psychology,Physical Sciences,756.0,1.0
66,N313112405279,F,Singapore,ay1415,ECONOMICS,79.979,1.0,Economics,History,773.0,1.0
67,N314112401279,M,East Asia,ay1415,PHILOSOPHY,81.251,0.0,"Philosophy, Politics and Economics",Anthropology,741.0,2.0
68,N315112402279,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",71.927,0.0,"Philosophy, Politics and Economics",Economics,750.0,2.0
69,N316112425279,M,Singapore,ay1415,LIFE SCIENCES,78.801,0.0,Life Sciences,Undeclared,753.0,1.0
70,N317112424279,M,Singapore,ay1415,ECONOMICS,84.879,1.0,Economics,"Mathematical, Computational and Statistical Sciences",788.0,1.0
71,N319112421279,M,Southeast Asia,ay1415,PSYCHOLOGY,83.153,1.0,Economics,Undeclared,710.0,1.0
72,N320112410279,M,North America,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.201,1.0,Arts & Humanities,Undeclared,800.0,1.0
73,N321112408279,F,Singapore,ay1415,URBAN STUDIES,73.04,0.0,Global Affairs,Urban Studies,731.0,2.0
74,N322112405279,M,North America,ay1415,ARTS AND HUMANITIES,73.385,0.0,Undecided,Undeclared,630.0,2.0
75,N323112401279,M,Singapore,ay1415,PSYCHOLOGY,79.721,1.0,Philosophy,"Philosophy, Politics and Economics",771.0,1.0
76,N324112402279,M,Singapore,ay1415,ECONOMICS,76.802,0.0,"Philosophy, Politics and Economics",Literature,731.0,2.0
77,N325112425279,F,Singapore,ay1415,ENVIRONMENTAL STUDIES,71.771,0.0,Life Sciences,Environmental Studies,746.0,1.0
78,N326112424279,M,South Asia,ay1415,GLOBAL AFFAIRS,77.366,0.0,"Philosophy, Politics and Economics",Global Affairs,740.0,2.0
79,N327112423279,F,Singapore,ay1415,LITERATURE,84.101,1.0,Anthropology,Literature,769.0,1.0
80,N328112421279,M,Singapore,ay1415,DDP LAW,76.872,0.0,Arts & Humanities,Literature,745.0,1.0
81,N329112418279,F,Singapore,ay1415,PHILOSOPHY,78.784,0.0,History,Arts & Humanities,697.0,2.0
82,N330112408279,M,Other,ay1415,LIFE SCIENCES,77.239,0.0,Undecided,Undecided,690.0,1.0
83,N331112405279,M,Singapore,ay1415,PSYCHOLOGY,78.178,1.0,Anthropology,History,765.0,1.0
84,N332112401279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,83.322,1.0,Environmental Studies,Urban Studies,777.0,1.0
85,N333112402279,F,Singapore,ay1415,ANTHROPOLOGY,64.751,0.0,Anthropology,Global Affairs,720.0,2.0
86,N336112423279,F,Other,ay1415,ARTS AND HUMANITIES,73.037,0.0,Global Affairs,Undeclared,750.0,2.0
87,N337112421279,F,Singapore,ay1415,ECONOMICS,83.783,1.0,Economics,Psychology,760.0,1.0
88,N338112418279,F,Singapore,ay1415,ANTHROPOLOGY,76.455,0.0,Anthropology,Undecided,733.0,2.0
89,N339112414279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,85.425,1.0,"Philosophy, Politics and Economics",Global Affairs,782.0,1.0
90,N340112405279,F,Singapore,ay1415,URBAN STUDIES,72.711,0.0,Arts & Humanities,Anthropology,725.0,2.0
91,N342112402279,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.514,1.0,Economics,Undeclared,760.0,1.0
92,N343112425279,M,Southeast Asia,ay1415,GLOBAL AFFAIRS,79.411,1.0,Physical Sciences,Undeclared,790.0,1.0
93,N344112424279,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.199,0.0,"Philosophy, Politics and Economics",Global Affairs,747.0,1.0
94,N346112421279,M,Singapore,ay1415,PSYCHOLOGY,78.851,0.0,Literature,Philosophy,752.0,1.0
95,N347112418279,F,Singapore,ay1415,PSYCHOLOGY,70.784,0.0,Psychology,Philosophy,729.0,2.0
96,N349112413279,F,North America,ay1415,URBAN STUDIES,82.676,1.0,"Philosophy, Politics and Economics",Undeclared,800.0,1.0
97,N350112401279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,88.294,1.0,Economics,Undeclared,790.0,1.0
98,N351112402279,F,Singapore,ay1415,GLOBAL AFFAIRS,75.805,0.0,Economics,Global Affairs,723.0,2.0
99,N352112425279,M,Singapore,ay1415,DDP LAW,79.033,0.0,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",752.0,1.0
100,N353112424279,F,Singapore,ay1415,ARTS AND HUMANITIES,65.439,0.0,Anthropology,Arts & Humanities,685.0,2.0
101,N354112423279,M,Singapore,ay1415,ECONOMICS,89.548,1.0,Economics,Philosophy,797.0,1.0
102,N355112421279,F,Singapore,ay1415,ANTHROPOLOGY,72.731,0.0,Global Affairs,Psychology,726.0,2.0
103,N356112418279,F,Europe,ay1415,GLOBAL AFFAIRS,79.361,0.0,Global Affairs,"Philosophy, Politics and Economics",640.0,1.0
104,N391113401219,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,72.904,0.0,"Philosophy, Politics and Economics",Arts & Humanities,740.0,2.0
105,N392113402219,F,Singapore,ay1415,HISTORY,69.886,0.0,Arts & Humanities,"Philosophy, Politics and Economics",800.0,2.0
106,N393113425219,F,Southeast Asia,ay1415,DDP LAW,78.739,1.0,"Philosophy, Politics and Economics",Undeclared,762.0,1.0
107,N394113424219,F,Singapore,ay1415,HISTORY,73.458,0.0,Global Affairs,"Philosophy, Politics and Economics",714.0,2.0
108,N395113423219,F,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.361,1.0,Arts & Humanities,Life Sciences,760.0,1.0
109,N365113414221,F,Southeast Asia,ay1415,ARTS AND HUMANITIES,63.773,0.0,Economics,Undeclared,640.0,2.0
110,N366113413221,F,North America,ay1415,LIFE SCIENCES,88.072,1.0,Economics,Undeclared,780.0,1.0
111,N367113412221,M,Europe,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.384,1.0,"Mathematical, Computational and Statistical Sciences",Undeclared,788.0,1.0
112,N368113410221,M,East Asia,ay1415,HISTORY,77.7,0.0,History,Undeclared,720.0,2.0
113,N370113424221,M,North America,ay1415,LIFE SCIENCES,81.706,1.0,Arts & Humanities,Undeclared,670.0,1.0
114,N372113421221,F,Other,ay1415,LIFE SCIENCES,78.545,0.0,Physical Sciences,Undeclared,710.0,1.0
115,N374113414221,M,Other,ay1415,ECONOMICS,75.529,0.0,Psychology,Undeclared,800.0,2.0
116,N376113412221,M,Other,ay1415,HISTORY,75.601,0.0,Arts & Humanities,Undeclared,760.0,2.0
117,N377113410221,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.258,1.0,"Philosophy, Politics and Economics",Undeclared,780.0,1.0
118,N378113408221,F,East Asia,ay1415,GLOBAL AFFAIRS,82.163,0.0,Urban Studies,"Philosophy, Politics and Economics",756.0,1.0
119,N379113405221,F,South Asia,ay1415,LITERATURE,70.495,0.0,Global Affairs,Literature,580.0,2.0
120,N380113423221,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.12,0.0,Environmental Studies,Undeclared,760.0,2.0
121,N381113421221,F,Other,ay1415,ECONOMICS,74.839,0.0,Undecided,Undeclared,739.0,2.0
122,N385113412221,F,Europe,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.504,1.0,Physical Sciences,Undeclared,780.0,1.0
123,N386113410221,F,North America,ay1415,ENVIRONMENTAL STUDIES,76.512,0.0,Economics,Arts & Humanities,650.0,2.0
124,N388113405221,F,North America,ay1415,PHILOSOPHY,76.87,1.0,Anthropology,Global Affairs,800.0,1.0
125,N389113401221,F,Europe,ay1415,LITERATURE,72.409,0.0,Global Affairs,Undeclared,743.0,2.0
126,N390113421221,F,South Asia,ay1415,ECONOMICS,73.211,0.0,Economics,Undeclared,770.0,2.0
127,N308113412226,F,Singapore,ay1415,GLOBAL AFFAIRS,72.539,0.0,Global Affairs,Arts & Humanities,736.0,2.0
128,N309113410226,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",86.187,1.0,Global Affairs,History,780.0,1.0
129,N310113425226,F,Singapore,ay1415,PHYSICAL SCIENCES,77.824,0.0,Global Affairs,Undeclared,747.0,1.0
130,N311113424226,M,Singapore,ay1415,ARTS AND HUMANITIES,75.893,0.0,Psychology,"Philosophy, Politics and Economics",780.0,2.0
131,N312113423226,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,88.68,1.0,Anthropology,Undeclared,798.0,1.0
132,N313113421226,F,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.989,1.0,Global Affairs,Undeclared,788.0,1.0
133,N316113413226,F,Singapore,ay1415,ARTS AND HUMANITIES,75.112,0.0,Arts & Humanities,Psychology,727.0,2.0
134,N317113412226,F,Singapore,ay1415,URBAN STUDIES,80.374,1.0,Economics,"Philosophy, Politics and Economics",768.0,1.0
135,N318113410226,F,Singapore,ay1415,ECONOMICS,79.678,0.0,Economics,Global Affairs,744.0,2.0
136,N319113408226,F,Singapore,ay1415,URBAN STUDIES,71.442,0.0,Global Affairs,Undeclared,630.0,2.0
137,N320113424226,F,Europe,ay1415,LITERATURE,73.972,0.0,Literature,Undeclared,736.0,2.0
138,N321113423226,F,Singapore,ay1415,ANTHROPOLOGY,75.277,0.0,Anthropology,Arts & Humanities,670.0,1.0
139,N324113414226,M,South Asia,ay1415,ENVIRONMENTAL STUDIES,79.562,1.0,Life Sciences,Undeclared,720.0,1.0
140,N325113413226,F,Singapore,ay1415,HISTORY,82.851,1.0,"Philosophy, Politics and Economics",Undeclared,780.0,1.0
141,N326113412226,F,Southeast Asia,ay1415,ARTS AND HUMANITIES,68.56,0.0,Psychology,Philosophy,693.0,2.0
142,N327113410226,M,Singapore,ay1415,LITERATURE,76.251,0.0,Literature,Arts & Humanities,740.0,2.0
143,N328113408226,F,Singapore,ay1415,DDP LAW,80.769,1.0,Urban Studies,"Philosophy, Politics and Economics",772.0,1.0
144,N329113405226,F,Singapore,ay1415,HISTORY,78.179,0.0,History,Literature,757.0,1.0
145,N331113421226,F,Singapore,ay1415,LIFE SCIENCES,76.357,0.0,Life Sciences,Physical Sciences,735.0,2.0
146,N332113418226,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.212,1.0,Physical Sciences,Undeclared,800.0,1.0
147,N333113414226,F,Singapore,ay1415,HISTORY,76.126,0.0,Literature,Arts & Humanities,727.0,2.0
148,N398113418236,F,Singapore,ay1415,ANTHROPOLOGY,77.351,0.0,"Philosophy, Politics and Economics",Global Affairs,672.0,2.0
149,N325113408238,F,Singapore,ay1415,ANTHROPOLOGY,72.719,0.0,Psychology,Economics,745.0,2.0
150,N332113424241,M,Singapore,ay1415,ANTHROPOLOGY,72.914,0.0,Arts & Humanities,"Philosophy, Politics and Economics",719.0,2.0
151,N331109413242,M,Singapore,ay1516,HISTORY,83.16,1.0,History,"Philosophy, Politics and Economics",765.0,1.0
152,N339112413213,F,Singapore,ay1516,ANTHROPOLOGY,88.9,1.0,Life Sciences,Undecided,790.0,1.0
153,N378112402216,M,Southeast Asia,ay1516,PHYSICAL SCIENCES,83.42,1.0,Physical Sciences,Undeclared,764.0,1.0
154,N311112425217,F,Singapore,ay1516,ANTHROPOLOGY,83.63,1.0,Literature,Psychology,778.0,1.0
155,N312112410220,F,East Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.99,1.0,Life Sciences,Psychology,800.0,1.0
156,N323113418280,F,Singapore,ay1516,ARTS AND HUMANITIES,80.73,1.0,Arts & Humanities,Literature,762.0,1.0
157,N324113414280,F,Singapore,ay1516,DDP LAW,85.71,1.0,Global Affairs,Philosophy,783.0,1.0
158,N325113413280,F,Singapore,ay1516,HISTORY,84.1,1.0,History,Arts & Humanities,770.0,1.0
159,N326113412280,M,Singapore,ay1516,HISTORY,81.64,0.0,"Philosophy, Politics and Economics",Undeclared,710.0,1.0
160,N327113410280,F,Singapore,ay1516,ANTHROPOLOGY,82.55,1.0,Life Sciences,"Philosophy, Politics and Economics",777.0,1.0
161,N328113408280,M,Singapore,ay1516,ARTS AND HUMANITIES,80.54,0.0,Philosophy,Psychology,756.0,1.0
162,N329113405280,F,Singapore,ay1516,HISTORY,76.58,0.0,History,Arts & Humanities,750.0,1.0
163,N330113423280,M,East Asia,ay1516,ECONOMICS,81.85,1.0,Urban Studies,Urban Studies,800.0,1.0
164,N331113421280,F,Southeast Asia,ay1516,URBAN STUDIES,85.46,1.0,Global Affairs,Undecided,780.0,1.0
165,N332113418280,M,Singapore,ay1516,HISTORY,82.49,1.0,Global Affairs,"Philosophy, Politics and Economics",759.0,1.0
166,N334113413280,M,Singapore,ay1516,URBAN STUDIES,85.03,1.0,Economics,Literature,783.0,1.0
167,N335113412280,M,Singapore,ay1516,LITERATURE,77.69,1.0,Philosophy,Undeclared,757.0,1.0
168,N336113410280,M,Singapore,ay1516,DDP LAW,80.38,1.0,"Philosophy, Politics and Economics",Economics,758.0,1.0
169,N337113408280,M,Singapore,ay1516,PSYCHOLOGY,83.54,1.0,Psychology,Environmental Studies,770.0,1.0
170,N340113421280,F,Singapore,ay1516,PSYCHOLOGY,80.76,1.0,Psychology,"Philosophy, Politics and Economics",762.0,1.0
171,N341113418280,F,Singapore,ay1516,LIFE SCIENCES,81.99,1.0,Life Sciences,Undecided,774.0,1.0
172,N342113414280,F,Singapore,ay1516,ANTHROPOLOGY,74.45,0.0,Anthropology,Undeclared,730.0,2.0
173,N343113413280,M,Singapore,ay1516,LIFE SCIENCES,87.88,1.0,Psychology,Undeclared,776.0,1.0
174,N344113412280,F,Singapore,ay1516,HISTORY,77.74,0.0,"Philosophy, Politics and Economics",Arts & Humanities,740.0,2.0
175,N345113410280,F,Singapore,ay1516,PSYCHOLOGY,92.15,1.0,Urban Studies,Arts & Humanities,792.0,1.0
176,N346113408280,F,Singapore,ay1516,ANTHROPOLOGY,71.3,0.0,Global Affairs,"Philosophy, Politics and Economics",720.0,2.0
177,N347113405280,M,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",85.41,1.0,Economics,Global Affairs,783.0,1.0
178,N348113401280,F,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.28,1.0,Economics,"Philosophy, Politics and Economics",763.0,1.0
179,N349113402280,M,Singapore,ay1516,ECONOMICS,89.14,1.0,Global Affairs,"Philosophy, Politics and Economics",785.0,1.0
180,N350113418280,F,Singapore,ay1516,DDP LAW,84.79,1.0,Global Affairs,"Philosophy, Politics and Economics",780.0,1.0
181,N352113413280,F,Southeast Asia,ay1516,ECONOMICS,87.29,1.0,Life Sciences,Anthropology,789.0,1.0
182,N353113412280,M,Singapore,ay1516,URBAN STUDIES,81.58,1.0,Philosophy,Literature,771.0,1.0
183,N354113410280,F,Singapore,ay1516,HISTORY,82.56,1.0,Global Affairs,Arts & Humanities,773.0,1.0
184,N355113408280,M,Singapore,ay1516,PSYCHOLOGY,78.23,0.0,Life Sciences,Anthropology,752.0,1.0
185,N356113405280,M,Singapore,ay1516,LITERATURE,92.09,1.0,Arts & Humanities,Undeclared,800.0,1.0
186,N358113402280,F,Singapore,ay1516,PSYCHOLOGY,78.9,0.0,Psychology,Life Sciences,749.0,1.0
187,N359113425280,M,Singapore,ay1516,GLOBAL AFFAIRS,81.55,1.0,"Philosophy, Politics and Economics",History,760.0,1.0
188,N360113414280,F,Singapore,ay1516,ARTS AND HUMANITIES,82.15,1.0,Arts & Humanities,Urban Studies,771.0,1.0
189,N361113413280,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,78.05,0.0,History,Global Affairs,750.0,1.0
190,N362113412280,F,Singapore,ay1516,ANTHROPOLOGY,87.01,1.0,Literature,Psychology,787.0,1.0
191,N363113410280,M,Singapore,ay1516,URBAN STUDIES,85.78,1.0,Arts & Humanities,Economics,780.0,1.0
192,N365113405280,M,Singapore,ay1516,PHILOSOPHY,84.32,1.0,"Philosophy, Politics and Economics",Global Affairs,784.0,1.0
193,N366113401280,M,Singapore,ay1516,DDP LAW,85.95,1.0,Psychology,Anthropology,778.0,1.0
194,N367113402280,M,Singapore,ay1516,ECONOMICS,88.18,1.0,Economics,"Philosophy, Politics and Economics",779.0,1.0
195,N368113425280,F,Singapore,ay1516,PSYCHOLOGY,84.97,1.0,Psychology,Undeclared,778.0,1.0
196,N369113424280,M,Singapore,ay1516,ARTS AND HUMANITIES,70.42,0.0,Arts & Humanities,Psychology,724.0,2.0
197,N370113413280,M,Singapore,ay1516,HISTORY,91.13,1.0,History,Literature,780.0,1.0
198,N371113412280,F,Southeast Asia,ay1516,ECONOMICS,79.4,0.0,"Mathematical, Computational and Statistical Sciences",Undeclared,780.0,1.0
199,N372113410280,M,Singapore,ay1516,PHILOSOPHY,79.99,0.0,"Philosophy, Politics and Economics",History,755.0,1.0
200,N375113401280,M,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.42,1.0,"Philosophy, Politics and Economics",Global Affairs,780.0,1.0
201,N376113402280,M,Singapore,ay1516,URBAN STUDIES,82.0,1.0,Economics,Undeclared,772.0,1.0
202,N377113425280,M,Singapore,ay1516,HISTORY,80.21,0.0,History,Anthropology,755.0,1.0
203,N378113424280,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,83.18,1.0,Physical Sciences,Undeclared,800.0,1.0
204,N381113410280,F,Singapore,ay1516,LITERATURE,80.27,1.0,Literature,Arts & Humanities,767.0,1.0
205,N383113405280,F,Singapore,ay1516,URBAN STUDIES,79.48,0.0,Global Affairs,Undeclared,755.0,1.0
206,N384113401280,F,Singapore,ay1516,URBAN STUDIES,81.17,0.0,Urban Studies,Anthropology,757.0,1.0
207,N385113402280,F,Singapore,ay1516,ANTHROPOLOGY,78.64,0.0,Arts & Humanities,"Philosophy, Politics and Economics",755.0,1.0
208,N386113425280,M,Singapore,ay1516,ENVIRONMENTAL STUDIES,85.07,1.0,Arts & Humanities,Environmental Studies,770.0,1.0
209,N387113424280,F,Southeast Asia,ay1516,DDP LAW,83.41,1.0,Arts & Humanities,Economics,767.0,1.0
210,N305113412283,F,Singapore,ay1516,DDP LAW,76.17,0.0,Global Affairs,"Philosophy, Politics and Economics",744.0,2.0
211,N306113410283,M,South Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.52,1.0,Physical Sciences,Undeclared,800.0,1.0
212,N307113408283,M,Southeast Asia,ay1516,LIFE SCIENCES,80.91,1.0,Life Sciences,Undeclared,759.0,1.0
