,PIN,Sex,Region,Year,Major,Grade,HSG,IndGrd2,AC1,AC2,SAT
30,N367112414278,F,Singapore,ay1415,ARTS AND HUMANITIES,78.232,,67.0125,Arts & Humanities,Economics,
31,N368112413278,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",78.125,,88.0625,Physical Sciences,Undeclared,800.0
32,N370112402278,M,Singapore,ay1415,PSYCHOLOGY,82.83,,80.3,Psychology,Economics,
33,N372112424278,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",85.321,,82.925,"Philosophy, Politics and Economics",Undeclared,760.0
34,N373112423278,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",84.212,,87.775,Literature,Anthropology,
35,N374112421278,F,Singapore,ay1415,PHYSICAL SCIENCES,85.272,,87.275,Life Sciences,Physical Sciences,
36,N375112418278,F,Southeast Asia,ay1415,LITERATURE,81.742,,87.85,Literature,Undeclared,790.0
37,N376112414278,F,Singapore,ay1415,GLOBAL AFFAIRS,76.543,,78.725,Psychology,Arts & Humanities,
38,N377112413278,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",72.685,,66.0,"Philosophy, Politics and Economics",Arts & Humanities,720.0
39,N378112412278,F,East Asia,ay1415,ENVIRONMENTAL STUDIES,82.485,,87.125,Psychology,Life Sciences,
40,N380112425278,M,East Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.498,,75.675,Arts & Humanities,Global Affairs,780.0
41,N381112424278,M,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",79.494,,80.7375,Physical Sciences,"Mathematical, Computational and Statistical Sciences",800.0
42,N382112423278,F,North America,ay1415,URBAN STUDIES,78.995,,69.15,Global Affairs,Undeclared,
43,N383112421278,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.37899999999999,,84.7625,Psychology,Undecided,
44,N384112418278,F,Singapore,ay1415,DDP LAW,84.11,,85.525,"Philosophy, Politics and Economics",Literature,
45,N386112413278,F,Singapore,ay1415,PSYCHOLOGY,82.646,,80.975,Psychology,Undecided,
46,N387112412278,F,Singapore,ay1415,ANTHROPOLOGY,82.291,,76.65,Literature,Psychology,
48,N389112408278,M,North America,ay1415,DDP Law,87.005,,88.475,Undecided,Undecided,
49,N390112424278,M,Singapore,ay1415,ECONOMICS,82.493,,86.75,Economics,Psychology,
50,N391112423278,F,North America,ay1415,ANTHROPOLOGY,81.007,,78.9,Global Affairs,Undeclared,800.0
51,N392112421278,F,Singapore,ay1415,PSYCHOLOGY,74.6,,75.25,Psychology,Arts & Humanities,
52,N393112418278,F,Singapore,ay1415,ECONOMICS,76.423,,64.0875,"Philosophy, Politics and Economics",Global Affairs,
53,N394112414278,M,Other,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",76.35600000000001,,77.4375,Economics,Undeclared,670.0
54,N396112412278,F,North America,ay1415,URBAN STUDIES,71.76,,61.075,Global Affairs,Environmental Studies,760.0
55,N397112410278,F,North America,ay1415,ANTHROPOLOGY,85.115,,82.2,Undecided,Undecided,
56,N398112408278,F,Singapore,ay1415,ANTHROPOLOGY,74.718,,74.4375,Global Affairs,Literature,740.0
57,N399112405278,F,Singapore,ay1415,URBAN STUDIES,74.236,,68.4875,Anthropology,Environmental Studies,
58,N300112413279,M,Singapore,ay1415,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",86.90100000000001,,88.4375,"Philosophy, Politics and Economics",Undeclared,
59,N301112412279,M,Europe,ay1415,ECONOMICS,85.15,,86.3625,"Mathematical, Computational and Statistical Sciences",Undeclared,740.0
61,N303112408279,M,Singapore,ay1415,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",87.579,,91.975,Global Affairs,"Philosophy, Politics and Economics",
62,N304112405279,M,Singapore,ay1415,ARTS AND HUMANITIES,80.468,,70.9,Arts & Humanities,Literature,
63,N305112401279,F,Singapore,ay1415,URBAN STUDIES,79.563,,80.6375,Urban Studies,Anthropology,
64,N306112402279,M,Singapore,ay1415,PSYCHOLOGY,84.309,,85.825,Anthropology,History,750.0
65,N307112425279,F,Singapore,ay1415,DDP LAW,83.634,,86.4375,Arts & Humanities,Global Affairs,760.0
66,N308112424279,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",89.147,,97.425,"Philosophy, Politics and Economics",Economics,
67,N309112423279,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",71.42,,60.9,Undecided,Undecided,
68,N310112412279,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.66199999999999,,83.6875,Life Sciences,Arts & Humanities,
69,N311112410279,F,Singapore,ay1415,PSYCHOLOGY,81.689,,78.5,Psychology,Physical Sciences,
70,N313112405279,F,Singapore,ay1415,ECONOMICS,79.979,,85.7125,Economics,History,
71,N314112401279,M,East Asia,ay1415,PHILOSOPHY,81.251,,72.05,"Philosophy, Politics and Economics",Anthropology,
72,N315112402279,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",71.92699999999999,,53.5,"Philosophy, Politics and Economics",Economics,750.0
73,N316112425279,M,Singapore,ay1415,LIFE SCIENCES,78.801,,77.025,Life Sciences,Undeclared,
74,N317112424279,M,Singapore,ay1415,ECONOMICS,84.87899999999999,,92.3,Economics,"Mathematical, Computational and Statistical Sciences",
75,N319112421279,M,Southeast Asia,ay1415,PSYCHOLOGY,83.15299999999999,,87.8875,Economics,Undeclared,710.0
76,N320112410279,M,North America,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.20100000000001,,91.225,Arts & Humanities,Undeclared,800.0
77,N321112408279,F,Singapore,ay1415,URBAN STUDIES,73.04,,67.3625,Global Affairs,Urban Studies,
78,N322112405279,M,North America,ay1415,ARTS AND HUMANITIES,73.385,,63.7875,Undecided,Undeclared,630.0
79,N323112401279,M,Singapore,ay1415,PSYCHOLOGY,79.721,,85.175,Philosophy,"Philosophy, Politics and Economics",
80,N324112402279,M,Singapore,ay1415,ECONOMICS,76.80199999999999,,67.5625,"Philosophy, Politics and Economics",Literature,
81,N325112425279,F,Singapore,ay1415,ENVIRONMENTAL STUDIES,71.771,,73.9625,Life Sciences,Environmental Studies,
82,N326112424279,M,South Asia,ay1415,GLOBAL AFFAIRS,77.366,,71.3375,"Philosophy, Politics and Economics",Global Affairs,
83,N327112423279,F,Singapore,ay1415,LITERATURE,84.101,,84.1,Anthropology,Literature,
84,N328112421279,M,Singapore,ay1415,DDP LAW,76.872,,73.7125,Arts & Humanities,Literature,
85,N329112418279,F,Singapore,ay1415,PHILOSOPHY,78.78399999999999,,52.725,History,Arts & Humanities,
86,N330112408279,M,Other,ay1415,LIFE SCIENCES,77.23899999999999,,76.6,Undecided,Undecided,690.0
87,N331112405279,M,Singapore,ay1415,PSYCHOLOGY,78.178,,82.4040754625,Anthropology,History,
88,N332112401279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,83.322,,87.6625,Environmental Studies,Urban Studies,
89,N333112402279,F,Singapore,ay1415,ANTHROPOLOGY,64.751,,62.5375,Anthropology,Global Affairs,
90,N336112423279,F,Other,ay1415,ARTS AND HUMANITIES,73.03699999999999,,71.5625,Global Affairs,Undeclared,750.0
91,N337112421279,F,Singapore,ay1415,ECONOMICS,83.78299999999999,,85.4,Economics,Psychology,760.0
92,N338112418279,F,Singapore,ay1415,ANTHROPOLOGY,76.455,,68.175,Anthropology,Undecided,
93,N339112414279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,85.425,,89.7625,"Philosophy, Politics and Economics",Global Affairs,
94,N340112405279,F,Singapore,ay1415,URBAN STUDIES,72.711,,64.7625,Arts & Humanities,Anthropology,
95,N342112402279,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.514,,80.0875,Economics,Undeclared,
96,N343112425279,M,Southeast Asia,ay1415,GLOBAL AFFAIRS,79.411,,81.575,Physical Sciences,Undeclared,790.0
97,N344112424279,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.199,,74.3375,"Philosophy, Politics and Economics",Global Affairs,
98,N346112421279,M,Singapore,ay1415,PSYCHOLOGY,78.851,,76.8875,Literature,Philosophy,
99,N347112418279,F,Singapore,ay1415,PSYCHOLOGY,70.78399999999999,,66.6125,Psychology,Philosophy,
100,N349112413279,F,North America,ay1415,URBAN STUDIES,82.676,,80.8375,"Philosophy, Politics and Economics",Undeclared,800.0
101,N350112401279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,88.294,,90.6875,Economics,Undeclared,790.0
102,N351112402279,F,Singapore,ay1415,GLOBAL AFFAIRS,75.805,,64.0,Economics,Global Affairs,
103,N352112425279,M,Singapore,ay1415,DDP LAW,79.033,,76.7875,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",
104,N353112424279,F,Singapore,ay1415,ARTS AND HUMANITIES,65.439,,47.1875,Anthropology,Arts & Humanities,
105,N354112423279,M,Singapore,ay1415,ECONOMICS,89.54799999999999,,96.35,Economics,Philosophy,
106,N355112421279,F,Singapore,ay1415,ANTHROPOLOGY,72.73100000000001,,65.1625,Global Affairs,Psychology,
107,N356112418279,F,Europe,ay1415,GLOBAL AFFAIRS,79.361,,74.2375,Global Affairs,"Philosophy, Politics and Economics",640.0
108,N391113401219,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,72.904,,71.275,"Philosophy, Politics and Economics",Arts & Humanities,
109,N392113402219,F,Singapore,ay1415,HISTORY,69.88600000000001,,63.85,Arts & Humanities,"Philosophy, Politics and Economics",800.0
110,N393113425219,F,Southeast Asia,ay1415,DDP LAW,78.73899999999999,,81.1125,"Philosophy, Politics and Economics",Undeclared,
111,N394113424219,F,Singapore,ay1415,HISTORY,73.458,,59.925,Global Affairs,"Philosophy, Politics and Economics",
112,N395113423219,F,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.361,,80.375,Arts & Humanities,Life Sciences,
114,N365113414221,F,Southeast Asia,ay1415,ARTS AND HUMANITIES,63.773,,52.1125,Economics,Undeclared,640.0
115,N366113413221,F,North America,ay1415,LIFE SCIENCES,88.072,,92.725,Economics,Undeclared,780.0
116,N367113412221,M,Europe,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.384,,92.45,"Mathematical, Computational and Statistical Sciences",Undeclared,
117,N368113410221,M,East Asia,ay1415,HISTORY,77.7,,72.2,History,Undeclared,720.0
119,N370113424221,M,North America,ay1415,LIFE SCIENCES,81.706,,80.2,Arts & Humanities,Undeclared,670.0
120,N372113421221,F,Other,ay1415,LIFE SCIENCES,78.545,,73.9875,Physical Sciences,Undeclared,710.0
121,N374113414221,M,Other,ay1415,ECONOMICS,75.529,,69.7125,Psychology,Undeclared,800.0
122,N376113412221,M,Other,ay1415,HISTORY,75.601,,64.9375,Arts & Humanities,Undeclared,760.0
123,N377113410221,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.258,,79.2125,"Philosophy, Politics and Economics",Undeclared,780.0
124,N378113408221,F,East Asia,ay1415,GLOBAL AFFAIRS,82.163,,78.5375,Urban Studies,"Philosophy, Politics and Economics",
125,N379113405221,F,South Asia,ay1415,LITERATURE,70.495,,56.7375,Global Affairs,Literature,580.0
126,N380113423221,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.12,,71.35,Environmental Studies,Undeclared,760.0
127,N381113421221,F,Other,ay1415,ECONOMICS,74.839,,71.175,Undecided,Undeclared,
129,N385113412221,F,Europe,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.50399999999999,,87.2875,Physical Sciences,Undeclared,780.0
130,N386113410221,F,North America,ay1415,ENVIRONMENTAL STUDIES,76.512,,72.25,Economics,Arts & Humanities,650.0
131,N388113405221,F,North America,ay1415,PHILOSOPHY,76.87,,80.2625,Anthropology,Global Affairs,800.0
132,N389113401221,F,Europe,ay1415,LITERATURE,72.40899999999999,,72.6375,Global Affairs,Undeclared,
133,N390113421221,F,South Asia,ay1415,ECONOMICS,73.211,,65.825,Economics,Undeclared,770.0
134,N308113412226,F,Singapore,ay1415,GLOBAL AFFAIRS,72.539,,69.7125,Global Affairs,Arts & Humanities,
135,N309113410226,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",86.18700000000001,,85.2125,Global Affairs,History,780.0
136,N310113425226,F,Singapore,ay1415,PHYSICAL SCIENCES,77.824,,74.4,Global Affairs,Undeclared,
137,N311113424226,M,Singapore,ay1415,ARTS AND HUMANITIES,75.893,,73.35,Psychology,"Philosophy, Politics and Economics",780.0
138,N312113423226,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,88.68,,96.625,Anthropology,Undeclared,
139,N313113421226,F,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.98899999999999,,92.3,Global Affairs,Undeclared,
140,N316113413226,F,Singapore,ay1415,ARTS AND HUMANITIES,75.112,,65.85,Arts & Humanities,Psychology,
141,N317113412226,F,Singapore,ay1415,URBAN STUDIES,80.374,,83.75,Economics,"Philosophy, Politics and Economics",
142,N318113410226,F,Singapore,ay1415,ECONOMICS,79.678,,72.975,Economics,Global Affairs,
143,N319113408226,F,Singapore,ay1415,URBAN STUDIES,71.442,,68.3125,Global Affairs,Undeclared,630.0
144,N320113424226,F,Europe,ay1415,LITERATURE,73.972,,69.75,Literature,Undeclared,
145,N321113423226,F,Singapore,ay1415,ANTHROPOLOGY,75.277,,75.075,Anthropology,Arts & Humanities,670.0
147,N324113414226,M,South Asia,ay1415,ENVIRONMENTAL STUDIES,79.562,,86.025,Life Sciences,Undeclared,720.0
148,N325113413226,F,Singapore,ay1415,HISTORY,82.851,,88.875,"Philosophy, Politics and Economics",Undeclared,
149,N326113412226,F,Southeast Asia,ay1415,ARTS AND HUMANITIES,68.56,,51.05,Psychology,Philosophy,
150,N327113410226,M,Singapore,ay1415,LITERATURE,76.251,,71.45,Literature,Arts & Humanities,
151,N328113408226,F,Singapore,ay1415,DDP LAW,80.76899999999999,,85.475,Urban Studies,"Philosophy, Politics and Economics",
152,N329113405226,F,Singapore,ay1415,HISTORY,78.179,,78.975,History,Literature,
153,N331113421226,F,Singapore,ay1415,LIFE SCIENCES,76.357,,69.1125,Life Sciences,Physical Sciences,
154,N332113418226,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.212,,88.05,Physical Sciences,Undeclared,800.0
155,N333113414226,F,Singapore,ay1415,HISTORY,76.126,,65.6,Literature,Arts & Humanities,
156,N398113418236,F,Singapore,ay1415,ANTHROPOLOGY,77.351,,41.9125,"Philosophy, Politics and Economics",Global Affairs,
157,N325113408238,F,Singapore,ay1415,ANTHROPOLOGY,72.719,,73.525,Psychology,Economics,
158,N332113424241,M,Singapore,ay1415,ANTHROPOLOGY,72.914,,62.275,Arts & Humanities,"Philosophy, Politics and Economics",
159,N331109413242,M,Singapore,ay1516,HISTORY,83.16,,82.465,History,"Philosophy, Politics and Economics",
160,N339112413213,F,Singapore,ay1516,ANTHROPOLOGY,88.9,,93.505,Life Sciences,Undecided,
161,N378112402216,M,Southeast Asia,ay1516,PHYSICAL SCIENCES,83.42,,81.8175,Physical Sciences,Undeclared,
162,N311112425217,F,Singapore,ay1516,ANTHROPOLOGY,83.63,,87.8425,Literature,Psychology,
163,N312112410220,F,East Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.99,1.0,91.865,Life Sciences,Psychology,800.0
164,N323113418280,F,Singapore,ay1516,ARTS AND HUMANITIES,80.73,,80.97,Arts & Humanities,Literature,
165,N324113414280,F,Singapore,ay1516,DDP LAW,85.71,,90.1675,Global Affairs,Philosophy,
166,N325113413280,F,Singapore,ay1516,HISTORY,84.1,,84.3975,History,Arts & Humanities,
167,N326113412280,M,Singapore,ay1516,HISTORY,81.64,,76.105,"Philosophy, Politics and Economics",Undeclared,710.0
168,N327113410280,F,Singapore,ay1516,ANTHROPOLOGY,82.55,,87.5925,Life Sciences,"Philosophy, Politics and Economics",
169,N328113408280,M,Singapore,ay1516,ARTS AND HUMANITIES,80.54,,78.545,Philosophy,Psychology,
170,N329113405280,F,Singapore,ay1516,HISTORY,76.58,,75.8025,History,Arts & Humanities,
171,N330113423280,M,East Asia,ay1516,ECONOMICS,81.85,,85.9425,Urban Studies,Urban Studies,800.0
172,N331113421280,F,Southeast Asia,ay1516,URBAN STUDIES,85.46,,88.7975,Global Affairs,Undecided,
173,N332113418280,M,Singapore,ay1516,HISTORY,82.49,,79.8575,Global Affairs,"Philosophy, Politics and Economics",
174,N334113413280,M,Singapore,ay1516,URBAN STUDIES,85.03,,90.0125,Economics,Literature,
175,N335113412280,M,Singapore,ay1516,LITERATURE,77.69,,79.0025,Philosophy,Undeclared,
176,N336113410280,M,Singapore,ay1516,DDP LAW,80.38,,79.2775,"Philosophy, Politics and Economics",Economics,
177,N337113408280,M,Singapore,ay1516,PSYCHOLOGY,83.54,,84.5325,Psychology,Environmental Studies,
178,N340113421280,F,Singapore,ay1516,PSYCHOLOGY,80.76,,81.245,Psychology,"Philosophy, Politics and Economics",
179,N341113418280,F,Singapore,ay1516,LIFE SCIENCES,81.99,,86.455,Life Sciences,Undecided,
180,N342113414280,F,Singapore,ay1516,ANTHROPOLOGY,74.45,,67.2575,Anthropology,Undeclared,
181,N343113413280,M,Singapore,ay1516,LIFE SCIENCES,87.88,,87.1675,Psychology,Undeclared,
182,N344113412280,F,Singapore,ay1516,HISTORY,77.74,,71.3575,"Philosophy, Politics and Economics",Arts & Humanities,
183,N345113410280,F,Singapore,ay1516,PSYCHOLOGY,92.15,,94.0525,Urban Studies,Arts & Humanities,
184,N346113408280,F,Singapore,ay1516,ANTHROPOLOGY,71.3,,62.7025,Global Affairs,"Philosophy, Politics and Economics",
185,N347113405280,M,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",85.41,,90.3375,Economics,Global Affairs,
186,N348113401280,F,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.28,,81.6725,Economics,"Philosophy, Politics and Economics",
187,N349113402280,M,Singapore,ay1516,ECONOMICS,89.14,,91.0,Global Affairs,"Philosophy, Politics and Economics",
188,N350113418280,F,Singapore,ay1516,DDP LAW,84.79,,88.8925,Global Affairs,"Philosophy, Politics and Economics",
189,N352113413280,F,Southeast Asia,ay1516,ECONOMICS,87.29,,92.6925,Life Sciences,Anthropology,
190,N353113412280,M,Singapore,ay1516,URBAN STUDIES,81.58,,84.805,Philosophy,Literature,
191,N354113410280,F,Singapore,ay1516,HISTORY,82.56,,85.9375,Global Affairs,Arts & Humanities,
192,N355113408280,M,Singapore,ay1516,PSYCHOLOGY,78.23,,76.7075,Life Sciences,Anthropology,
193,N356113405280,M,Singapore,ay1516,LITERATURE,92.09,,94.5425,Arts & Humanities,Undeclared,800.0
194,N358113402280,F,Singapore,ay1516,PSYCHOLOGY,78.9,,75.4025,Psychology,Life Sciences,
195,N359113425280,M,Singapore,ay1516,GLOBAL AFFAIRS,81.55,,80.225,"Philosophy, Politics and Economics",History,
196,N360113414280,F,Singapore,ay1516,ARTS AND HUMANITIES,82.15,,84.97,Arts & Humanities,Urban Studies,
197,N361113413280,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,78.05,,75.6,History,Global Affairs,
198,N362113412280,F,Singapore,ay1516,ANTHROPOLOGY,87.01,,92.0625,Literature,Psychology,
199,N363113410280,M,Singapore,ay1516,URBAN STUDIES,85.78,,89.1075,Arts & Humanities,Economics,
200,N365113405280,M,Singapore,ay1516,PHILOSOPHY,84.32,,90.46,"Philosophy, Politics and Economics",Global Affairs,
201,N366113401280,M,Singapore,ay1516,DDP LAW,85.95,,87.9375,Psychology,Anthropology,
202,N367113402280,M,Singapore,ay1516,ECONOMICS,88.18,,88.495,Economics,"Philosophy, Politics and Economics",
203,N368113425280,F,Singapore,ay1516,PSYCHOLOGY,84.97,,88.1825,Psychology,Undeclared,
204,N369113424280,M,Singapore,ay1516,ARTS AND HUMANITIES,70.42,,64.3975,Arts & Humanities,Psychology,
205,N370113413280,M,Singapore,ay1516,HISTORY,91.13,,92.545,History,Literature,780.0
206,N371113412280,F,Southeast Asia,ay1516,ECONOMICS,79.4,,76.8425,"Mathematical, Computational and Statistical Sciences",Undeclared,780.0
207,N372113410280,M,Singapore,ay1516,PHILOSOPHY,79.99,,78.1925,"Philosophy, Politics and Economics",History,
208,N375113401280,M,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.42,,88.7125,"Philosophy, Politics and Economics",Global Affairs,
209,N376113402280,M,Singapore,ay1516,URBAN STUDIES,82.0,,85.4475,Economics,Undeclared,
210,N377113425280,M,Singapore,ay1516,HISTORY,80.21,,78.1425,History,Anthropology,
211,N378113424280,F,Singapore,ay1516,ENVIRONMENTAL STUDIES,83.18,,93.43,Physical Sciences,Undeclared,800.0
212,N381113410280,F,Singapore,ay1516,LITERATURE,80.27,,83.2875,Literature,Arts & Humanities,
213,N383113405280,F,Singapore,ay1516,URBAN STUDIES,79.48,,77.9925,Global Affairs,Undeclared,
214,N384113401280,F,Singapore,ay1516,URBAN STUDIES,81.17,,78.89,Urban Studies,Anthropology,
215,N385113402280,F,Singapore,ay1516,ANTHROPOLOGY,78.64,,78.04,Arts & Humanities,"Philosophy, Politics and Economics",
216,N386113425280,M,Singapore,ay1516,ENVIRONMENTAL STUDIES,85.07,,84.62,Arts & Humanities,Environmental Studies,
217,N387113424280,F,Southeast Asia,ay1516,DDP LAW,83.41,,83.23,Arts & Humanities,Economics,
218,N305113412283,F,Singapore,ay1516,DDP LAW,76.17,,73.37,Global Affairs,"Philosophy, Politics and Economics",
219,N306113410283,M,South Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.52,,84.2725,Physical Sciences,Undeclared,800.0
220,N307113408283,M,Southeast Asia,ay1516,LIFE SCIENCES,80.91,,79.695,Life Sciences,Undeclared,
221,N308113405283,F,Singapore,ay1516,ECONOMICS,85.26,,86.1525,Economics,Arts & Humanities,700.0
222,N309113401283,M,Europe,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",84.37,,84.67,"Philosophy, Politics and Economics",Undeclared,
223,N310113421283,F,Singapore,ay1516,ANTHROPOLOGY,80.01,,77.0875,Global Affairs,"Philosophy, Politics and Economics",
224,N311113418283,F,East Asia,ay1516,GLOBAL AFFAIRS,83.25,,76.66,"Philosophy, Politics and Economics",Undeclared,800.0
225,N313113413283,M,North America,ay1516,ARTS AND HUMANITIES,81.25,,82.765,Literature,Undeclared,
226,N314113412283,F,South Asia,ay1516,ECONOMICS,90.1,,91.845,"Mathematical, Computational and Statistical Sciences",Undeclared,800.0
227,N315113410283,F,South Asia,ay1516,ENVIRONMENTAL STUDIES,77.41,,78.645,"Philosophy, Politics and Economics",Undeclared,780.0
228,N365113414288,M,Singapore,ay1516,HISTORY,83.75,,81.325,Literature,Arts & Humanities,
229,N366113413288,M,Singapore,ay1516,ARTS AND HUMANITIES,78.5,,75.6175,Arts & Humanities,Psychology,
230,N367113412288,F,Europe,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.92,,90.0125,Global Affairs,Psychology,740.0
231,N368113410288,M,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.45,,88.015,Psychology,Anthropology,760.0
232,N369113408288,M,Singapore,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.45,,91.3775,Psychology,"Mathematical, Computational and Statistical Sciences",
233,N371113423288,M,Singapore,ay1516,"PHILOSOPHY, POLITICS AND ECONOMICS",83.54,,81.9025,Global Affairs,"Philosophy, Politics and Economics",
