PIN,Matriculation.Date,Sex,Academic.Interest.1,Academic.Interest.2,SAT.I.Math,Translated.SAT.I.Math,SAT.R.Math.Verified,ACT.Math.Verified,GCE..A..Levels.H1.MATHEMATICS.Grade,GCE..A..Levels.H1.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.MATHEMATICS.Grade,GCE..A..Levels.H2.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.COMPUTER.SCIENCE.COMPUTING.Grade,IB.Math.Studies.SL.Score,IB.Mathematics.SL.Score,IB.Mathematics.HL.Score,IB.Math.Stats.HL.Score,IB.Further.mathematics.SL.Score,IB.Computer.Sc..SL.Score,IB.Computer.Sc..HL.Score,AP.Calculus..AB..Score,AP.Statistics.Score,AP.Physics.1.Score,AP.Computer.Science..A..Score,AP.Computer.Science..AB..Score
N324116421212,2016,F,Life Sciences,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N365115402262,2016,F,Arts & Humanities,Economics,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N347115405224,2016,M,Arts & Humanities,Environmental Studies,710,740,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N314115414225,2016,F,Psychology,Urban Studies,660,690,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N308115410225,2016,M,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",770,780,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N351115412262,2016,M,Psychology,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N363115405262,2016,F,Psychology,Anthropology,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N367115402224,2016,F,"Philosophy, Politics and Economics",Global Affairs,780,790,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N380115412224,2016,M,Psychology,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N345115410224,2016,F,Literature,"Philosophy, Politics and Economics",730,760,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N345115408225,2016,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N356115405224,2016,M,Physical Sciences,,750,770,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N346115401262,2016,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N352115410262,2016,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N362115412224,2016,M,Anthropology,Psychology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N371115412224,2016,M,Undecided,"Philosophy, Politics and Economics",800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N348115425262,2016,M,Arts & Humanities,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N341115418224,2016,F,Psychology,Life Sciences,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N301116405220,2016,F,Economics,Environmental Studies,NA,NA,NA,26,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N397116418207,2016,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N310115424225,2016,M,Undecided,Undecided,780,790,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N322115418225,2016,F,,"Philosophy, Politics and Economics",800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
N365115405224,2016,F,Economics,Global Affairs,740,760,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N357115425262,2016,F,Global Affairs,Urban Studies,NA,NA,NA,NA,B,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N338115401225,2016,F,History,,680,710,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N383115405224,2016,F,Global Affairs,"Philosophy, Politics and Economics",700,730,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N337116405215,2016,M,Physical Sciences,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N306116410208,2016,F,Literature,Psychology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N330115421225,2016,F,Physical Sciences,Physical Sciences,780,790,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N338115405224,2016,F,"Philosophy, Politics and Economics",Global Affairs,760,780,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N347115402262,2016,F,Philosophy,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N344115408262,2016,F,Urban Studies,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N342115412262,2016,M,"Mathematical, Computational and Statistical Sciences",Psychology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N370115413224,2016,M,Physical Sciences,"Mathematical, Computational and Statistical Sciences",800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N375115425262,2016,M,"Philosophy, Politics and Economics",Economics,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N399116413207,2016,F,Global Affairs,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N371115408262,2016,M,"Philosophy, Politics and Economics",Undecided,NA,NA,NA,NA,,,C,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N329115401225,2016,M,"Philosophy, Politics and Economics",Philosophy,NA,NA,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N359115423262,2016,M,Literature,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N397115423224,2016,F,Psychology,Life Sciences,760,780,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N374115402262,2016,F,Urban Studies,Life Sciences,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N337116402217,2016,F,Philosophy,Psychology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N317115410225,2016,F,Arts & Humanities,Literature,NA,NA,NA,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N378115421262,2016,F,Economics,Arts & Humanities,NA,NA,NA,NA,,,C,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N353115410225,2016,F,"Mathematical, Computational and Statistical Sciences",Global Affairs,NA,NA,NA,28,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N324115413225,2016,M,Life Sciences,Economics,740,760,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N325116418212,2016,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N363114412242,2016,F,Global Affairs,Literature,NA,NA,NA,NA,,,B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N354115405262,2016,M,Psychology,Physical Sciences,NA,NA,NA,NA,,,B,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N372115405262,2016,F,,Arts & Humanities,790,800,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N389115421224,2016,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
N358115424262,2016,M,Economics,Philosophy,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N366115401224,2016,F,Arts & Humanities,,800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N383115402262,2016,M,Economics,Environmental Studies,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N303116414208,2016,F,Arts & Humanities,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N330116424222,2016,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,C,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N339116402215,2016,F,Arts & Humanities,Physical Sciences,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N389115414262,2016,M,Physical Sciences,Philosophy,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N318115402282,2016,F,Global Affairs,History,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N356115402262,2016,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N377115423262,2016,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N364115408224,2016,M,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N312116414208,2016,M,"Philosophy, Politics and Economics",Psychology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N399115418224,2016,F,Life Sciences,Physical Sciences,740,760,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N395115425224,2016,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,750,770,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N361115410262,2016,M,Psychology,Anthropology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N390115410224,2016,M,Philosophy,Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N388115423224,2016,F,Life Sciences,"Mathematical, Computational and Statistical Sciences",800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N381115405262,2016,F,"Mathematical, Computational and Statistical Sciences",Global Affairs,800,800,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N333115408255,2016,M,Global Affairs,Economics,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N384115401224,2016,F,Global Affairs,,690,720,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N393115401224,2016,F,Global Affairs,Anthropology,NA,NA,NA,28,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
N398115421224,2016,M,Arts & Humanities,History,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N300116408220,2016,F,Global Affairs,History,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N346115408224,2016,F,Global Affairs,Anthropology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N305115413244,2016,M,Global Affairs,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N355115401262,2016,M,Literature,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N309116401208,2016,M,Environmental Studies,"Philosophy, Politics and Economics",750,770,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N343115413224,2016,F,Literature,Physical Sciences,780,790,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N394116424207,2016,F,Psychology,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N352115412225,2016,M,Economics,Physical Sciences,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N388115418262,2016,F,Psychology,Economics,730,760,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N360115414224,2016,M,"Philosophy, Politics and Economics",Economics,780,790,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N353115408262,2016,M,Psychology,Physical Sciences,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N320115423225,2016,F,Literature,Anthropology,760,780,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N311115423225,2016,F,"Philosophy, Politics and Economics",Global Affairs,730,760,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N337115405225,2016,F,Global Affairs,Anthropology,650,670,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N386115423262,2016,M,Literature,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N301115424225,2016,M,"Mathematical, Computational and Statistical Sciences",Economics,800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
N398116414207,2016,M,History,Psychology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N394115402224,2016,M,Environmental Studies,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N315115413225,2016,M,Economics,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N380115408262,2016,F,Undecided,Undecided,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N335116405217,2016,M,Environmental Studies,Life Sciences,640,660,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N341115413262,2016,M,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N381115410224,2016,F,Economics,Arts & Humanities,700,730,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
N336116408215,2016,F,Economics,Anthropology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N353115412224,2016,M,"Philosophy, Politics and Economics",Arts & Humanities,790,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N343116412215,2016,F,Literature,Psychology,780,790,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N368115423262,2016,M,Psychology,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N339115402225,2016,F,Life Sciences,Physical Sciences,770,780,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N348115402225,2016,F,Economics,Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N300115425225,2016,F,"Philosophy, Politics and Economics",Arts & Humanities,650,670,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N343115412225,2016,F,Life Sciences,Global Affairs,760,780,NA,30,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N378115424224,2016,F,Global Affairs,"Philosophy, Politics and Economics",800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N387115421262,2016,F,Literature,Global Affairs,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N357115401224,2016,F,Life Sciences,Economics,690,720,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N338115402262,2016,F,Undecided,Urban Studies,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N396115424224,2016,F,Literature,Economics,750,770,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N327115408225,2016,F,Physical Sciences,Life Sciences,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N319115405225,2016,F,"Mathematical, Computational and Statistical Sciences",Economics,NA,NA,NA,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
N342116413215,2016,F,Environmental Studies,Urban Studies,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N390115405262,2016,M,"Philosophy, Politics and Economics",Economics,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N310115401240,2016,F,Life Sciences,Physical Sciences,790,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
N377116425223,2016,F,Urban Studies,Anthropology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N355115408224,2016,F,"Mathematical, Computational and Statistical Sciences",Philosophy,770,780,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N337115401262,2016,M,Literature,Philosophy,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N341115414225,2016,M,"Philosophy, Politics and Economics",Philosophy,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N336115405262,2016,M,Psychology,Literature,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N367115424262,2016,F,Arts & Humanities,Global Affairs,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N372115410224,2016,M,"Mathematical, Computational and Statistical Sciences",Psychology,780,790,NA,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N332115412272,2016,F,Psychology,Global Affairs,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N340115421224,2016,M,"Philosophy, Politics and Economics",,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N340116418215,2016,F,Arts & Humanities,Psychology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N366115425262,2016,F,Philosophy,Literature,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N373115408224,2016,F,Physical Sciences,Arts & Humanities,740,760,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N308116405208,2016,M,Urban Studies,Anthropology,760,780,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N355115405225,2016,M,Environmental Studies,Economics,NA,NA,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N340115414262,2016,M,Literature,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N368115425224,2016,M,Global Affairs,Economics,680,710,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N303115421225,2016,M,Economics,Global Affairs,700,730,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N376115402224,2016,M,Anthropology,Urban Studies,800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N313115418225,2016,F,Environmental Studies,"Philosophy, Politics and Economics",NA,NA,NA,33,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N319115424283,2016,F,"Philosophy, Politics and Economics",Undecided,NA,NA,NA,NA,,,B,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N337115408224,2016,M,Economics,"Mathematical, Computational and Statistical Sciences",780,790,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N346115405225,2016,M,Psychology,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N375115401224,2016,M,Physical Sciences,Global Affairs,800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N369115421262,2016,F,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",790,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N311116418208,2016,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N370115410262,2016,M,"Philosophy, Politics and Economics",Literature,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N377115425224,2016,M,Physical Sciences,Global Affairs,790,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N384115425262,2016,M,"Philosophy, Politics and Economics",Global Affairs,730,760,NA,NA,,,B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N339115401224,2016,F,Arts & Humanities,Life Sciences,760,780,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N351115413225,2016,F,"Mathematical, Computational and Statistical Sciences",,730,760,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N306115413225,2016,F,"Mathematical, Computational and Statistical Sciences",Economics,710,740,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
N312115421225,2016,F,Psychology,Literature,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
