PIN,Sex,Region,Year,Major,Grade,Exam1,Exam2,TRAT,Instructor,Writing,IRAT,Present,Report,Peer,Reading,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
N376112405225,M,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",74.874,86,87,90.35,69.3,71.1,70.2,96.7,42.9,81.2,NA,75,80,40,100,100,66.67,60,80,40,0,33.33,75,60,0,83.33,66.67,,,,,90.625,85,75,100,85,91.66666667,55,100,100,79.16666667,100,85,90,100,100,85,100,NA,NA,NA
N330112423236,F,Other,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",82.678,90,63,94.5,80.4,78.2,76,80,88.6,89.9,NA,62.5,80,60,83.33,100,66.67,0,60,80,33.33,83.33,75,40,0,83.33,100,,,,,100,85,90,100,100,100,90,100,10,75,100,80,100,100,100,100,100,NA,NA,NA
N331112421236,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.954,86,77,93.6,69.8,82.5,65.8,90,92.9,78.6,NA,0,80,80,83.33,80,66.67,40,0,100,33.33,33.33,50,60,40,50,66.67,,,,,93.75,85,85,100,100,100,90,100,100,83.33333333,100,65,90,100,100,100,100,NA,NA,NA
N332112418236,M,Singapore,ay1415,PHYSICAL SCIENCES,81.701,74,86,97.8,77.1,75,85.5,86.7,87.1,70,NA,62.5,40,20,83.33,100,83.33,40,100,80,66.67,83.33,75,80,100,100,83.33,,,,,100,100,75,100,100,100,100,100,100,100,100,90,100,100,100,100,100,NA,NA,NA
N333112414236,M,Singapore,ay1415,GLOBAL AFFAIRS,68.854,63,67.5,93.6,60.8,61.3,68.7,83.3,55.7,74.2,NA,62.5,60,40,66.67,100,66.67,20,60,40,100,50,50,20,60,83.33,33.33,,,,,100,100,90,100,100,100,70,100,75,91.66666667,100,80,85,100,100,100,100,NA,NA,NA
N384112412241,M,Singapore,ay1415,DDP LAW,83.661,NA,92.5,94.3,81.1,85.3,82.4,90,60,92.1,NA,62.5,80,60,100,100,66.67,40,60,80,66.67,33.33,100,60,80,83.33,100,,,,,81.25,100,90,100,100,100,90,100,90,70.83333333,100,90,90,100,83.33333333,100,100,NA,NA,NA
N385112421249,M,Singapore,ay1415,HISTORY,78.591,67,75.5,92.3,65,82.3,74.2,83.3,81.4,85.6,NA,62.5,80,40,100,100,66.67,20,100,80,33.33,83.33,50,40,80,83.33,83.33,,,,,93.75,90,85,100,100,91.66666667,85,100,90,91.66666667,87.5,85,85,100,100,100,100,NA,NA,NA
N320112401251,M,Singapore,ay1415,ANTHROPOLOGY,83.191,91.5,94.5,94.5,76.4,63.9,75.7,80,88.6,83.7,NA,62.5,80,60,100,100,83.33,0,100,40,33.33,50,100,40,80,0,66.67,,,,,100,85,90,100,100,100,90,100,10,75,100,80,100,100,100,100,100,NA,NA,NA
N381112413252,M,Singapore,ay1415,DDP LAW & GLOBAL AFFAIRS Major,88.899,95,91.5,93.7,82.4,86.7,85.6,86.7,86.4,92.1,NA,100,80,40,100,60,66.67,40,100,100,100,66.67,100,40,100,83.33,100,,,,,100,90,75,100,90,100,90,100,100,83.33333333,100,65,100,100,100,100,100,NA,NA,NA
N306112413255,M,Singapore,ay1415,ANTHROPOLOGY,72.651,48,71,89.2,69.8,79.6,72.7,86.7,65.7,77.2,NA,62.5,80,60,66.67,40,33.33,40,100,40,100,33.33,50,60,40,83.33,100,,,,,87.5,90,90,100,100,79.16666667,55,100,70,83.33333333,87.5,85,70,100,100,100,100,NA,NA,NA
N384112402255,M,Singapore,ay1415,ECONOMICS,87.787,94.5,89,93.7,80.3,90.7,81.6,86.7,86.4,89.6,NA,87.5,60,40,100,60,50,60,80,80,66.67,50,50,60,100,0,0,,,,,100,90,75,100,90,100,90,100,100,83.33333333,100,65,100,100,100,100,100,NA,NA,NA
N388112421255,M,Singapore,ay1415,HISTORY,89.643,88,100,90.9,88.8,94.6,89.5,76.7,82.9,91.9,NA,75,80,80,100,100,100,60,60,80,100,83.33,100,80,80,83.33,100,,,,,93.75,85,85,91.66666667,100,91.66666667,70,90,100,87.5,100,85,80,92,100,100,100,NA,NA,NA
N370112412264,F,Singapore,ay1415,LITERATURE,66.464,37.5,66,94.9,60.8,70.8,58.6,83.3,80,56.5,NA,50,60,20,0,60,33.33,0,60,60,66.67,33.33,0,20,20,100,83.33,,,,,100,100,90,100,90,100,85,100,100,100,88,90,85,100,100,100,80,NA,NA,NA
N358112414278,F,Singapore,ay1415,ARTS AND HUMANITIES,73.223,63.8,68,93,64.5,76,65,76.7,78.6,75.7,NA,50,80,40,33.33,80,50,0,80,80,66.67,83.33,50,40,40,66.67,50,,,,,100,100,100,91.66666667,90,75,75,100,100,83.33333333,100,80,90,100,100,100,100,NA,NA,NA
N360112401278,M,North America,ay1415,PHYSICAL SCIENCES,88.835,86,96.5,94.5,88.3,79.3,91.3,80,88.6,89.9,NA,87.5,100,60,100,100,66.67,80,100,100,100,66.67,100,40,100,100,83.33,,,,,100,85,90,100,100,100,90,100,10,75,100,80,100,100,100,100,100,NA,NA,NA
N362112425278,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.117,78,58.5,94.8,78.9,82.4,72.9,83.3,65.7,84.8,NA,62.5,60,40,0,40,66.67,40,0,80,0,33.33,75,100,80,83.33,100,,,,,100,100,90,100,100,100,100,100,90,70.83333333,100,90,90,100,100,100,100,NA,NA,NA
N363112424278,M,North America,ay1415,ENVIRONMENTAL STUDIES,80.624,71,86,91.7,81.1,77.3,78.8,90,85.7,71.3,NA,50,100,80,100,80,66.67,40,100,40,100,33.33,75,60,80,100,100,,,,,93.75,100,85,100,85,100,65,100,85,83.33333333,100,80,80,100,91.66666667,100,100,NA,NA,NA
N364112423278,F,South Asia,ay1415,LITERATURE,75.296,64,64,89.2,91,79.6,65.5,86.7,65.7,82,NA,37.5,60,40,66.67,60,0,0,40,80,0,16.67,0,20,60,66.67,100,,,,,87.5,90,90,100,100,79.16666667,55,100,70,83.33333333,88,85,70,100,100,100,100,NA,NA,NA
N365112421278,M,East Asia,ay1415,GLOBAL AFFAIRS,80.106,87.5,72.5,91,69.8,76.7,76.6,90,82.9,79.1,NA,62.5,40,80,50,100,0,60,100,80,33.33,83.33,50,60,0,66.67,100,,,,,93.75,90,90,100,90,91.66666667,80,80,100,91.66666667,100,70,90,91.66666667,100,85,100,NA,NA,NA
N366112418278,F,Singapore,ay1415,DDP LAW & PSYCHOLOGY Major,77.524,74,73,92.7,76.9,74.6,67.3,86.7,71.4,87.4,NA,50,80,0,66.67,80,66.67,40,40,40,33.33,50,75,20,80,83.33,66.67,,,,,90.625,100,90,100,100,100,60,100,90,91.66666667,87.5,75,90,88,100,100,100,NA,NA,NA
N367112414278,F,Singapore,ay1415,ARTS AND HUMANITIES,78.232,62,70.5,98.1,85.3,82.3,69.3,83.3,81.4,77.5,NA,37.5,100,20,83.33,80,66.67,40,60,100,33.33,66.67,25,40,100,83.33,83.33,,,,,100,100,100,100,100,100,100,100,100,91.66666667,100,90,100,100,100,100,100,NA,NA,NA
N368112413278,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",78.125,95,90.5,94.8,74.1,65.4,74,83.3,65.7,72.2,NA,75,100,80,83.33,80,83.33,60,0,60,66.67,0,75,80,0,0,100,,,,,100,100,90,100,100,100,100,100,90,71,100,90,90,100,100,100,100,NA,NA,NA
N370112402278,M,Singapore,ay1415,PSYCHOLOGY,82.83,65,92,90.1,70.7,86.7,85.7,80,87.1,83.5,NA,50,80,60,83.33,100,83.33,40,100,80,33.33,66.67,75,80,100,100,100,,,,,90.625,100,80,100,100,87.5,65,100,90,91.66666667,100,75,100,100,100,90,90,NA,NA,NA
N372112424278,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",85.321,79,86,95.7,91,78.2,84.2,86.7,88.6,80.7,NA,75,100,100,83.33,60,66.67,60,0,40,33.33,66.67,0,80,80,100,33.33,,,,,71.875,100,100,100,100,100,80,90,100,100,100,90,100,100,91.66666667,100,100,NA,NA,NA
N373112423278,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",84.212,85,100,91.7,81.1,65.3,73.6,90,85.7,89.7,NA,37.5,60,60,100,80,83.33,20,60,100,66.67,50,75,40,60,100,0,,,,,93.75,100,85,100,85,100,65,100,85,83.33333333,100,80,80,100,92,100,100,NA,NA,NA
N374112421278,F,Singapore,ay1415,PHYSICAL SCIENCES,85.272,86,88,92.3,76.4,84.2,88.1,83.3,81.4,86.4,NA,75,80,80,100,100,83.33,80,60,100,100,50,50,60,80,100,100,,,,,93.75,90,85,100,100,91.66666667,85,100,90,91.66666667,87.5,85,85,100,100,100,100,NA,NA,NA
N375112418278,F,Southeast Asia,ay1415,LITERATURE,81.742,86,94,89.2,84,78.2,81.4,86.7,65.7,80,NA,50,80,60,100,80,33.33,40,100,40,33.33,50,100,80,60,100,100,,,,,87.5,90,90,100,100,79.16666667,55,100,70,83.33333333,87.5,85,70,100,100,100,100,NA,NA,NA
N376112414278,F,Singapore,ay1415,GLOBAL AFFAIRS,76.543,81,77,93.6,81.8,67,77.9,83.3,55.7,80.2,NA,62.5,100,40,83.33,80,33.33,20,100,40,100,50,100,100,80,100,100,,,,,100,100,90,100,100,100,70,100,75,91.66666667,100,80,85,100,100,100,100,NA,NA,NA
N377112413278,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",72.685,53,75,90.35,78.9,84.6,72,96.7,42.9,79.4,NA,37.5,60,60,100,80,50,0,60,80,66.67,0,0,40,20,100,100,,,,,90.625,85,75,100,85,91.66666667,55,100,100,79,100,85,90,100,100,85,100,NA,NA,NA
N378112412278,F,East Asia,ay1415,ENVIRONMENTAL STUDIES,82.485,88,88,92.4,67.5,68.6,84.5,90,78.6,86.4,NA,87.5,100,60,83.33,100,66.67,60,100,40,100,66.67,75,60,60,83.33,100,,,,,100,100,75,100,100,91.66666667,65,100,60,75,100,90,100,100,100,90,100,NA,NA,NA
N380112425278,M,East Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.498,81,70,95.7,69.8,69.5,76.2,86.7,88.6,72.4,NA,0,40,80,50,80,83.33,20,80,0,100,66.67,0,80,60,0,83.33,,,,,71.875,100,100,100,100,100,80,90,100,100,100,90,100,100,91.66666667,100,100,NA,NA,NA
N381112424278,M,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",79.494,93,76.5,87.7,69.8,76,68.7,83.3,82.9,81.9,NA,62.5,80,0,100,0,66.67,0,100,40,100,0,100,60,60,0,0,,,,,81.25,85,80,100,85,79.16666667,40,100,100,83,100,90,90,100,100,100,100,NA,NA,NA
N382112423278,F,North America,ay1415,URBAN STUDIES,78.995,57.5,78.5,98.1,86.5,78.4,72.6,83.3,81.4,78.7,NA,75,40,60,66.67,80,33.33,20,40,80,33.33,50,50,80,80,83.33,100,,,,,100,100,100,100,100,100,100,100,100,91.66666667,100,90,100,100,100,100,100,NA,NA,NA
N383112421278,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.379,81,93.5,91.8,81.1,79.7,77.3,76.7,70,77.8,NA,87.5,80,60,100,80,33.33,60,60,60,100,66.67,75,60,60,83.33,83.33,,,,,93.75,100,90,100,100,79.16666667,75,100,90,70.83333333,100,90,85,100,91.66666667,90,100,NA,NA,NA
N384112418278,F,Singapore,ay1415,DDP LAW,84.11,74,94,96.2,69.8,82.5,90.1,83.3,76.4,88.4,NA,100,80,100,83.33,80,100,0,100,60,66.67,100,100,100,100,0,0,,,,,84.375,100,100,100,100,79.16666667,90,100,90,100,100,100,100,100,100,90,100,NA,NA,NA
N386112413278,F,Singapore,ay1415,PSYCHOLOGY,82.646,86,76,94.9,74.8,87,80.9,83.3,80,83,NA,0,80,100,83.33,100,83.33,40,100,60,100,100,50,80,60,83.33,66.67,,,,,100,100,90,100,90,100,85,100,100,100,87.5,90,85,100,100,100,80,NA,NA,NA
N387112412278,F,Singapore,ay1415,ANTHROPOLOGY,82.291,71.5,79.5,98.25,78.9,77.9,80.1,83.3,91.4,79.2,NA,87.5,100,60,83.33,60,50,60,100,40,100,50,75,80,80,100,83.33,,,,,100,100,90,100,100,100,100,100,100,100,100,90,85,100,100,100,100,NA,NA,NA
N388112410278,F,North America,ay1415,ARTS AND HUMANITIES,72.193,NA,41,90.9,81.8,65.1,63.6,76.7,82.9,75.7,NA,50,20,0,33.33,80,66.67,20,60,80,0,33.33,100,20,60,100,66.67,,,,,93.75,85,85,91.66666667,100,91.66666667,70,90,100,87.5,100,85,80,92,100,100,100,NA,NA,NA
N389112408278,M,North America,ay1415,DDP Law,87.005,81,97,93.6,84,77.4,86.9,90,92.9,81.8,NA,75,80,80,100,80,83.33,60,100,80,100,66.67,100,60,100,66.67,100,,,,,93.75,85,85,100,100,100,90,100,100,83.33333333,100,65,90,100,100,100,100,NA,NA,NA
N390112424278,M,Singapore,ay1415,ECONOMICS,82.493,88,89,94.65,74.1,60.9,81.5,93.3,80,85.4,NA,62.5,60,80,100,80,100,40,80,100,100,0,75,60,60,100,100,,,,,75,100,85,100,100,100,100,100,90,88,100,90,100,100,100,100,100,NA,NA,NA
N391112423278,F,North America,ay1415,ANTHROPOLOGY,81.007,72.5,90.5,93.7,84.6,71.1,71.1,86.7,86.4,78.8,NA,37.5,80,20,100,80,83.33,40,100,40,33.33,33.33,50,40,40,100,100,,,,,100,90,75,100,90,100,90,100,100,83.33333333,100,65,100,100,100,100,100,NA,NA,NA
N392112421278,F,Singapore,ay1415,PSYCHOLOGY,74.6,78,72,93.6,81.8,70.8,76,83.3,55.7,71.9,NA,37.5,100,20,50,100,50,20,100,80,33.33,66.67,50,80,80,83.33,0,,,,,100,100,90,100,100,100,70,100,75,91.66666667,100,80,85,100,100,100,100,NA,NA,NA
N393112418278,F,Singapore,ay1415,ECONOMICS,76.423,69,54.5,94.9,67.8,78.4,71.1,83.3,80,87.3,NA,62.5,80,60,66.67,100,0,40,80,80,33.33,50,0,60,60,100,0,,,,,100,100,90,100,90,100,85,100,100,100,87.5,90,85,100,100,100,80,NA,NA,NA
N394112414278,M,Other,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",76.356,67,87.5,90.1,63.3,59.3,78,83.3,71.4,86.2,NA,50,80,0,83.33,100,83.33,20,0,60,100,66.67,75,80,100,83.33,83.33,,,,,87.5,85,90,100,100,87.5,55,90,100,75,100,90,90,100,100,100,100,NA,NA,NA
N396112412278,F,North America,ay1415,URBAN STUDIES,71.76,58,59,97.8,65.4,47.6,68.8,86.7,87.1,75.1,NA,37.5,60,60,83.33,80,83.33,20,60,0,33.33,83.33,25,0,60,100,100,,,,,100,100,75,100,100,100,100,100,100,100,100,90,100,100,100,100,100,NA,NA,NA
N397112410278,F,North America,ay1415,ANTHROPOLOGY,85.115,74.5,93.5,87.7,91,75.3,76.8,83.3,82.9,98.7,NA,50,80,40,83.33,80,66.67,20,60,80,100,66.67,0,100,80,100,100,,,,,81.25,85,80,100,85,79.16666667,40,100,100,83.33333333,100,90,90,100,100,100,100,NA,NA,NA
N398112408278,F,Singapore,ay1415,ANTHROPOLOGY,74.718,74,78.5,94.3,66.9,66.1,69,90,60,84,NA,75,80,80,83.33,80,66.67,0,40,40,66.67,16.67,50,60,60,83.33,0,,,,,81.25,100,90,100,100,100,90,100,90,70.83333333,100,90,90,100,83,100,100,NA,NA,NA
N399112405278,F,Singapore,ay1415,URBAN STUDIES,74.236,76,58.5,89.7,74.8,58.4,72.2,90,77.1,76.5,NA,87.5,100,60,33.33,80,50,0,80,80,100,66.67,0,40,40,100,66.67,,,,,81.25,80,90,91.66666667,100,83.33333333,40,100,100,83.33333333,100,100,75,100,100,100,100,NA,NA,NA
N300112413279,M,Singapore,ay1415,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",86.901,86,93.5,91.7,81.1,87.7,84.5,90,85.7,85.5,NA,87.5,100,40,100,80,83.33,20,100,40,66.67,100,100,100,80,83.33,100,,,,,93.75,100,85,100,85,100,65,100,85,83.33333333,100,80,80,100,91.66666667,100,100,NA,NA,NA
N301112412279,M,Europe,ay1415,ECONOMICS,85.15,88,90.5,93.7,83.5,75,77.7,86.7,86.4,87.6,NA,37.5,60,40,100,60,33.33,40,40,100,100,83.33,75,20,80,83.33,100,,,,,100,90,75,100,90,100,90,100,100,83.33333333,100,65,100,100,100,100,100,NA,NA,NA
N302112410279,M,North America,ay1415,GLOBAL AFFAIRS,74.367,NA,62,94.3,81.1,81.3,74.5,90,60,67.3,NA,75,60,80,0,100,50,40,80,80,0,50,0,80,80,100,33.33,,,,,81.25,100,90,100,100,100,90,100,90,70.83333333,100,90,90,100,83.33333333,100,100,NA,NA,NA
N303112408279,M,Singapore,ay1415,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",87.579,93,100,91,84,79.6,78.4,90,82.9,93.7,NA,50,80,60,100,80,66.67,80,100,60,66.67,33.33,100,40,60,0,100,,,,,93.75,90,90,100,90,91.66666667,80,80,100,91.66666667,100,70,90,92,100,85,100,NA,NA,NA
N304112405279,M,Singapore,ay1415,ARTS AND HUMANITIES,80.468,78.5,59.5,87.7,76.9,79.6,76.6,83.3,82.9,94.5,NA,62.5,80,60,0,60,50,20,80,80,66.67,0,75,100,80,83.33,83.33,,,,,81.25,85,80,100,85,79.16666667,40,100,100,83,100,90,90,100,100,100,100,NA,NA,NA
N305112401279,F,Singapore,ay1415,URBAN STUDIES,79.563,78.5,85,94.65,59.7,71.1,77.3,93.3,80,81.8,NA,50,80,40,83.33,40,66.67,40,100,80,66.67,100,0,60,80,83.33,83.33,,,,,75,100,85,100,100,100,100,100,90,87.5,100,90,100,100,100,100,100,NA,NA,NA
N306112402279,M,Singapore,ay1415,PSYCHOLOGY,84.309,81,87,96.5,84,76.4,91.3,93.3,60,94.2,NA,100,80,60,100,60,100,40,80,100,33.33,100,100,100,80,100,100,,,,,100,90,65,100,100,91.66666667,100,100,100,91.66666667,100,100,100,100,100,100,100,NA,NA,NA
N307112425279,F,Singapore,ay1415,DDP LAW,83.634,93,85.5,96.4,80.4,58.5,78,90,78.6,94.4,NA,50,100,60,100,100,50,80,40,80,33.33,83.33,25,60,40,100,100,,,,,100,100,100,100,100,91.66666667,75,100,100,100,100,90,80,100,100,100,100,NA,NA,NA
N308112424279,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",89.147,100,99,92.4,89.1,84.2,91.2,90,78.6,84,NA,87.5,100,40,50,100,100,40,100,100,100,83.33,100,60,80,100,100,,,,,100,100,75,100,100,91.66666667,65,100,60,75,100,90,100,100,100,90,100,NA,NA,NA
N309112423279,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",71.42,55,53,96.2,34.5,78.9,81.6,83.3,76.4,78.2,NA,50,40,80,50,80,0,60,60,40,66.67,100,100,80,100,100,66.67,,,,,84.375,100,100,100,100,79.16666667,90,100,90,100,100,100,100,100,100,90,100,NA,NA,NA
N310112412279,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.662,83,94.5,89.7,53.8,76.5,68.5,90,77.1,76.2,NA,75,60,20,0,0,50,20,80,80,66.67,16.67,100,20,60,100,100,,,,,81.25,80,90,91.66666667,100,83.33333333,40,100,100,83.33333333,100,100,75,100,100,100,100,NA,NA,NA
N311112410279,F,Singapore,ay1415,PSYCHOLOGY,81.689,80.5,78.5,90.1,76.1,82.8,75.5,80,87.1,83.8,NA,50,80,60,66.67,100,33.33,40,100,40,100,83.33,50,60,80,83.33,100,,,,,90.625,100,80,100,100,87.5,65,100,90,91.66666667,100,75,100,100,100,90,90,NA,NA,NA
N313112405279,F,Singapore,ay1415,ECONOMICS,79.979,100,66.5,96.5,63.7,64.7,93.1,93.3,60,85.9,NA,62.5,60,80,100,60,100,100,100,100,100,0,100,100,80,100,100,,,,,100,90,65,100,100,91.66666667,100,100,100,92,100,100,100,100,100,100,100,NA,NA,NA
N314112401279,M,East Asia,ay1415,PHILOSOPHY,81.251,85,57,91.4,81.1,86.9,75.2,93.3,90,77.5,NA,37.5,100,60,100,60,83.33,60,0,60,100,83.33,50,60,0,100,50,,,,,93.75,100,90,100,85,100,75,100,100,91.66666667,100,90,80,100,91.66666667,55,100,NA,NA,NA
N315112402279,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",71.927,66.5,27.5,96.2,69.8,81,73,83.3,76.4,74.6,NA,75,20,40,66.67,80,50,20,80,80,33.33,33.33,75,80,100,0,83.33,,,,,84.375,100,100,100,100,79.16666667,90,100,90,100,100,100,100,100,100,90,100,NA,NA,NA
N316112425279,M,Singapore,ay1415,LIFE SCIENCES,78.801,78,77,94.65,64.5,66.5,75.6,93.3,80,84,NA,62.5,80,40,83.33,100,83.33,80,80,40,0,50,50,20,80,83.33,100,,,,,75,100,85,100,100,100,100,100,90,87.5,100,90,100,100,100,100,100,NA,NA,NA
N317112424279,M,Singapore,ay1415,ECONOMICS,84.879,100,86,97.8,63.3,77,90.2,86.7,87.1,77,NA,75,80,60,100,80,0,0,100,80,100,100,75,100,80,100,100,,,,,100,100,75,100,100,100,100,100,100,100,100,90,100,100,100,100,100,NA,NA,NA
N319112421279,M,Southeast Asia,ay1415,PSYCHOLOGY,83.153,90.5,87,98.1,66.3,82.3,85.3,83.3,81.4,77,NA,75,100,40,100,80,50,20,100,80,100,66.67,100,60,80,100,100,,,,,100,100,100,100,100,100,100,100,100,91.66666667,100,90,100,100,100,100,100,NA,NA,NA
N320112410279,M,North America,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.201,93,89,98.3,93.2,68.8,91.9,83.3,91.4,82.6,NA,100,40,60,100,100,83.33,80,100,80,100,83.33,75,80,80,100,50,,,,,100,100,90,100,100,100,100,100,100,100,100,90,85,100,100,100,100,NA,NA,NA
N321112408279,F,Singapore,ay1415,URBAN STUDIES,73.04,70.8,68.5,93,60.5,70.5,60.5,76.7,78.6,80.2,NA,0,80,60,50,60,16.67,0,60,0,33.33,33.33,0,20,20,100,100,,,,,100,100,100,91.66666667,90,75,75,100,100,83.33333333,100,80,90,100,100,100,100,NA,NA,NA
N322112405279,M,North America,ay1415,ARTS AND HUMANITIES,73.385,55,73.5,89.7,81.8,62.2,62.4,90,77.1,77.4,NA,50,0,20,66.67,0,66.67,0,100,40,33.33,16.67,0,60,60,83.33,83.33,,,,,81.25,80,90,91.66666667,100,83.33333333,40,100,100,83.33333333,100,100,75,100,100,100,100,NA,NA,NA
N323112401279,M,Singapore,ay1415,PSYCHOLOGY,79.721,90,83,89.2,69.8,72.4,81.2,86.7,65.7,84.7,NA,25,80,100,83.33,100,66.67,40,100,60,66.67,100,0,100,60,100,66.67,,,,,87.5,90,90,100,100,79.16666667,55,100,70,83.33333333,88,85,70,100,100,100,100,NA,NA,NA
N324112402279,M,Singapore,ay1415,ECONOMICS,76.802,80.5,55,92.4,82.7,72.5,67,90,78.6,80.4,NA,37.5,60,40,66.67,100,33.33,0,80,60,66.67,50,25,80,80,66.67,83.33,,,,,100,100,75,100,100,91.66666667,65,100,60,75,100,90,100,100,100,90,100,NA,NA,NA
N325112425279,F,Singapore,ay1415,ENVIRONMENTAL STUDIES,71.771,78.5,75.8,90.1,55.9,73,64.4,83.3,71.4,65.3,NA,50,60,40,66.67,60,0,0,60,20,66.67,0,25,60,0,83.33,100,,,,,87.5,85,90,100,100,87.5,55,90,100,75,100,90,90,100,100,100,100,NA,NA,NA
